"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","time.d","xCH4.GC","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"2","A1","17012017",1520,"1520",185,826.2,0,0,826.2,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,20,1.01325,0,0,0,0,NA,NA
"2","A1","18012017",1613,"1527",220,826.2,0.959,790,825.3,NA,"17-02-2017 11:40:12",0.5566,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.547,20,1.01325,719.061209977331,393.3264818576,719.061209977331,393.3264818576,719.061209977331,393.3264818576
"2","A1","19012017",1114,"1103",233,825.3,0.966,790,824.3,NA,"06-02-2017 15:30:33",0.5135,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.5017,20,1.01325,719.061209977331,360.753009045627,1438.12241995466,754.079490903227,898.826512471664,450.941261307034
"2","A1","20012017",1523,"1450",265,824.3,0.564,449,823.8,NA,"02-02-2017 18:22:23",0.5491,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5491,20,1.01325,408.681624404838,224.407079960696,1846.8040443595,978.486570863924,340.568020337365,187.005899967247
"2","A1","22012017",625,"0617",280,823.8,0.338,260,823.5,NA,"10-02-2017 21:06:28",0.5605,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5491,20,1.01325,236.653056448236,129.946193295726,2083.45710080774,1108.43276415965,147.908160280147,81.2163708098289
"2","A1","24012017",1018,"0923",313,823.4,0.241,184,823.2,NA,"03-02-2017 09:13:31",0.5753,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.565,20,1.01325,167.47754764029,94.6248144167637,2250.93464844803,1203.05757857641,76.1261580183135,43.0112792803471
"2","A1","28012017",1829,"1822",328,823.2,0.251,200,823,NA,"09-02-2017 14:30:48",0.5765,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.5654,20,1.01325,182.040812652489,102.925875473717,2432.97546110051,1305.98345405013,42.3350727098812,23.9362501101668
"2","A1","01022017",1053,"1013",367,823,0.13,95,822.9,NA,"20-02-2017 14:51:03",0.5689,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.5689,20,1.01325,86.4693860099322,49.1924337010504,2519.44484711045,1355.17588775118,23.3701043270087,13.2952523516353
"2","A1","06022017",1759,"1701",391,822.9,0.137,97,822.8,NA,"08-02-2017 16:25:28",0.5839,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5721,20,1.01325,88.2897941364571,50.5105912254671,2607.7346412469,1405.68647897665,16.6584517238598,9.53030023122021
"2","A1","17022017",1707,"1707",397,822.8,0.169,123,822.6,"Initial mass (822.4) below final mass even after removing 123 mL biogas. Must be data recording error but which one? Suspect mass.init, so set to previous mass.final value. This is the most consitent explanation.","27-02-2017 12:44:19",0.5813,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5813,20,1.01325,111.955099781281,65.0794995028585,2719.68974102818,1470.76597847951,10.1777363437528,5.9163181366235
"2","A2","17012017",1520,"1520",186,842.7,0,0,842.7,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,20,1.01325,0,0,0,0,NA,NA
"2","A2","18012017",1616,"1527",221,842.7,0.937,763,841.8,NA,"17-02-2017 13:26:51",0.5691,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.5596,20,1.01325,694.485700269245,388.63419787067,694.485700269245,388.63419787067,694.485700269245,388.63419787067
"2","A2","19012017",1118,"1103",234,841.8,1.009,821,840.8,NA,"06-02-2017 14:38:54",0.5231,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.5113,20,1.01325,747.277535938467,382.083004125338,1441.76323620771,770.717201996008,934.096919923084,477.603755156673
"2","A2","20012017",1525,"1450",266,840.8,0.539,434,840.3,NA,"02-02-2017 17:10:07",0.5455,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5455,20,1.01325,395.028563455901,215.488081365194,1836.79179966361,986.205283361202,329.190469546584,179.573401137662
"2","A2","22012017",627,"0617",281,840.3,0.338,270,840,NA,"10-02-2017 21:24:12",0.5625,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5511,20,1.01325,245.75509708086,135.435634001262,2082.54689674447,1121.64091736246,153.596935675538,84.6472712507887
"2","A2","24012017",1021,"0923",314,840,0.242,188,839.8,"Check final mass","03-02-2017 12:45:44",0.5672,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.5569,20,1.01325,171.11836389334,95.2958168522008,2253.66526063781,1216.93673421466,77.7810744969726,43.316280387364
"2","A2","28012017",1832,"1822",329,839.8,0.258,192,839.5,NA,"09-02-2017 15:23:24",0.5734,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.5623,20,1.01325,174.759180146389,98.2670869963147,2428.4244407842,1315.20382121098,40.6416698014859,22.8528109293755
"2","A2","01022017",1055,"1013",368,839.5,0.14,100,839.4,NA,NA,NA,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.56378,20,1.01325,91.0204063262445,51.3154846786101,2519.44484711045,1366.51930588959,24.6001098179039,13.8690499131379
"2","A2","06022017",1802,"1701",392,839.4,0.132,93,839.3,"mass.init originally entered as 838.4. Must be mistake due to writing 8/9.","08-02-2017 14:40:07",0.5778,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5659,20,1.01325,84.6489778834073,47.9028565842202,2604.09382499385,1414.42216247381,15.9715052610203,9.03827482721136
"2","A2","17022017",1712,"1707",398,839.3,0.182,134,839.1,NA,"27-02-2017 12:05:41",0.5771,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5771,20,1.01325,121.967344477168,70.3873544977734,2726.06116947102,1484.80951697158,11.0879404070152,6.39885040888849
"2","A3","17012017",1520,"1520",187,839.3,0,0,839.3,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,20,1.01325,0,0,0,0,NA,NA
"2","A3","18012017",1618,"1527",222,839.3,0.866,709,838.5,NA,"17-02-2017 12:15:42",0.5786,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.5691,20,1.01325,645.334680853073,367.259966873484,645.334680853073,367.259966873484,645.334680853073,367.259966873484
