"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","xCH4.GC","date.time","start.time","time.d","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","leaked"
"2","A1","17022017",1707,"1707",397,822.8,0.169,123,822.6,"Initial mass (822.4) below final mass even after removing 123 mL biogas. Must be data recording error but which one? Suspect mass.init, so set to previous mass.final value. This is the most consitent explanation.","27-02-2017 12:44:19",0.5813,0.5813,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.199999999999932,3.60000000000002,0.199999999999932,0,3.5,0.100000000000023,FALSE
"2","A2","17022017",1712,"1707",398,839.3,0.182,134,839.1,NA,"27-02-2017 12:05:41",0.5771,0.5771,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.199999999999932,3.60000000000002,0.199999999999932,0,3.60000000000002,0,FALSE
"2","A3","17022017",1716,"1707",399,836.2,0.14,105,836,NA,"27-02-2017 10:48:49",0.5778,0.5778,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.200000000000045,3.29999999999995,0.200000000000045,0,3.39999999999998,-0.100000000000023,FALSE
"2","B1","17022017",1720,"1707",400,841.5,0.182,134,841.4,NA,"27-02-2017 10:29:58",0.5888,0.5888,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.100000000000023,4,0.100000000000023,0,3.80000000000007,0.199999999999932,FALSE
"2","B2","17022017",1720,"1707",401,849.7,0.166,120,849.5,NA,"27-02-2017 11:46:24",0.5891,0.5891,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.200000000000045,3.70000000000005,0.200000000000045,0,3.80000000000007,-0.100000000000023,FALSE
"2","B3","17022017",1724,"1707",402,844.5,0.146,105,844.3,NA,"27-02-2017 15:02:03",0.5761,0.5761,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.200000000000045,3.60000000000002,0.200000000000045,0,3.60000000000002,0,FALSE
"2","C1","17022017",1753,"1707",415,1034.3,0.234,140,1034.1,"Ask Jinmi about pres.init","27-02-2017 13:42:36",0.615,0.615,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.300000000000182,3.70000000000005,0.200000000000045,0.100000000000136,3.49999999999977,0.200000000000273,FALSE
"2","C2","17022017",1756,"1707",416,1018.5,0.357,220,1018.3,NA,"27-02-2017 14:02:09",0.6361,0.6361,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.200000000000045,3.80000000000007,0.200000000000045,0,3.70000000000005,0.100000000000023,FALSE
"2","C3","17022017",1758,"1707",417,1046.2,0.344,222,1045.9,"Ask Jinmi about pres.init","27-02-2017 13:03:45",0.637,0.637,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.299999999999955,3.39999999999986,0.299999999999955,0,3.29999999999995,0.0999999999999091,FALSE
"2","C4","17022017",1733,"1707",406,946.8,0.327,222,946.5,NA,"27-02-2017 10:11:20",0.6174,0.6174,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.299999999999955,5,0.299999999999955,0,4.5,0.5,TRUE
"2","C5","17022017",1735,"1707",407,854,0,0,854,"mass.final assumed to = mass.init",NA,NA,NA,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.200000000000045,4,0,0.200000000000045,2.09999999999991,1.90000000000009,TRUE
"2","C6","17022017",1738,"1707",408,843.8,0.157,118,843.7,"Check hard copy for final mass.final digit","27-02-2017 12:24:56",0.6173,0.6173,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.199999999999932,3.59999999999991,0.0999999999999091,0.100000000000023,3.39999999999998,0.199999999999932,FALSE
