"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A1","14022017",0,1230,"1230",0,0,0,385.27,385.27,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,190.544,20,101.325,0,0,0,0,NA,NA
"A1","15022017",1,1016,"0929",187,92.2,0.3,385.26,385.04,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,0.4615,190.544,20,101.325,170.208159830077,78.5510657615806,170.208159830077,78.5510657615806,194.678117676975,89.8439513079238
"A1","16022017",2,1325,"1250",201,99.1,0.3,385.04,384.8,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,0.5443,190.544,20,101.325,182.951016715751,99.5802383983835,353.159176545828,178.131304159964,160.542025637222,87.3830245543402
"A1","17022017",3,932,"0854",165,77.7,0.4,384.8,384.62,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,0.5829,190.544,20,101.325,150.183670438303,87.542061498487,503.342846984132,265.673365658451,179.621665640496,104.701468901845
"A1","18022017",4,1644,"1608",257,125.5,0.4,384.6,384.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,0.6854,190.544,20,101.325,233.922444258448,160.33044329474,737.26529124258,426.003808953192,179.748302952063,123.199486843344
"A1","19022017",5,1634,"1559",230,108.7,0.3,384.36,384.12,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,0.727,190.544,20,101.325,209.346934550362,152.195221418113,946.612225792942,578.199030371305,210.663581937471,153.152424068542
"A1","20022017",6,1121,"1052",171,82.3,0.3,384.13,383.97,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,0.7242,190.544,20,101.325,155.644894817878,112.718032827107,1102.25712061082,690.917063198412,197.818754225723,143.260341810269
"A1","21022017",7,1605,"1540",124,58.7,0.3,383.98,383.86,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,0.720420850708924,190.544,20,101.325,112.865303844543,81.310518211207,1215.12242445536,772.227581409619,94.0544198704526,67.7587651760058
"A1","23022017",9,1531,"1510",102,48.5,0.1,383.85,383.75,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,0.714187878787879,190.544,20,101.325,92.8408144527694,66.3057843389624,1307.96323890813,838.533365748582,46.9090430919256,33.5018699817915
"A1","01032017",15,1750,"1746",158,76.4,0.2,383.74,383.59,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,15.2194444444444,0.694950959132611,190.544,20,101.325,143.812241995466,99.9424555097604,1451.7754809036,938.475821258342,23.5436139692441,16.3616571093741
"A1","07032017",21,1104,"1034",103,49.2,0.3,383.57,383.48,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444,0.677,190.544,20,101.325,93.7510185160318,63.4694395353535,1545.52649941963,1001.9452607937,16.4475471080758,11.1349893921673
"A2","14022017",0,1230,"1230",0,0,0,391.09,391.09,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,193.374,20,101.325,0,0,0,0,NA,NA
"A2","15022017",1,1016,"0929",174,86.1,0.2,391.09,390.87,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,0.4637,193.374,20,101.325,158.375507007665,73.4387225994544,158.375507007665,73.4387225994544,181.14434479034,83.9966326792807
"A2","16022017",2,1325,"1250",202,98.8,0.4,390.89,390.65,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,0.5483,193.374,20,101.325,183.861220779014,100.811107353133,342.236727786679,174.249829952588,161.340742182681,88.4631289387641
