"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","xCH4","notes","date.time","start.time","time.d"
"I1","12112018",0,"1230",0,0,NA,183.7168,0,0,NA,0,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0
"I1","13112018",0.840277777773736,"0840",348,NA,183.7157,183.6832,11.78,22.22,0.653529411764706,0.346470588235294,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778
"I1","14112018",1.84375,"0845",260,NA,183.682,183.6602,22.07,24.42,0.525274252527425,0.474725747472575,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375
"I1","15112018",2.85069444444525,"0855",216,NA,183.6585,183.641,28.81,26.01,0.474461875228019,0.525538124771981,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444
"I1","16112018",3.80902777777374,"0755",188,NA,183.6415,183.6269,33.7,27.39,0.448354886233426,0.551645113766574,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778
"I1","17112018",4.86111111110949,"0910",158,NA,183.6256,183.6123,36.96,27.54,0.426976744186046,0.573023255813953,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111
"I1","18112018",5.85902777777665,"0907",130,NA,183.6145,183.6039,39.62,27.97,0.413818612220743,0.586181387779257,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778
"I1","19112018",6.8395833333343,"0839",118,NA,183.6004,183.5923,42.59,29.02,0.405250663315179,0.594749336684821,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333
"I1","21112018",8.91666666666424,"1030",190,NA,183.5946,183.58,47.38,29.33,0.382349107026463,0.617650892973537,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667
"I1","23112018",10.878472222219,"0935",170,NA,183.5817,183.5681,49.61,29.3,0.371309086300849,0.628690913699151,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"I1","25112018",13.125,"1530",178,NA,183.5679,183.5539,50.71,29.33,0.366441779110445,0.633558220889555,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"I1","28112018",15.8541666666642,"0900",178,NA,183.5526,183.5397,52.452556,29.966672,0.363588360716021,0.636411639283979,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
"I1","01122018",18.909722222219,"1020",170,NA,183.538,183.526,55.31,31.04,0.359467284308049,0.640532715691951,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222
"I1","05122018",22.8611111111095,"0910",180,NA,183.5203,183.5077,56.78,31.03,0.353376608586721,0.646623391413279,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111
"I1","09122018",27.1458333333285,"1600",200,NA,183.5068,183.4914,58.15,31.18,0.349042874734132,0.650957125265868,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333
"I2","12112018",0,"1230",0,NA,NA,184.28255,0,0,NA,0,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0
"I2","13112018",0.840277777773736,"0840",344,NA,184.2815,184.25,11.77,22.2,0.653517809832205,0.346482190167795,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778
"I2","14112018",1.84375,"0845",266,NA,184.2496,184.2266,21.61,24.25,0.528783253379852,0.471216746620148,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375
"I2","15112018",2.85069444444525,"0855",208,NA,184.2241,184.2067,28.68,26.19,0.477310005467469,0.522689994532531,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444
"I2","16112018",3.80902777777374,"0755",178,NA,184.2073,184.1926,33.57,26.88,0.444665012406948,0.555334987593052,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778
"I2","17112018",4.86111111110949,"0910",147,NA,184.1919,184.1801,36.52,27.79,0.432125641424351,0.567874358575649,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111
"I2","18112018",5.85902777777665,"0907",124,NA,184.1819,184.1719,39.29,28.07,0.416716152019002,0.583283847980998,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778
"I2","19112018",6.8395833333343,"0839",112,NA,184.1677,184.1714,41.56,28.73,0.408735239721155,0.591264760278845,"Marked yellow in original data file",2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333
"I2","21112018",8.91666666666424,"1030",196,NA,184.1738,184.158,46.87,29.19,0.383775966342361,0.616224033657639,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667
"I2","23112018",10.878472222219,"0935",169,NA,184.1604,184.1466,49.45,28.91,0.368938233792751,0.631061766207249,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"I2","25112018",13.125,"1530",180,NA,184.1456,184.1328,50.79,29.55,0.367811799850635,0.632188200149365,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
