"id","etime","vol","temp.air","pres.amb","mass.init","mass.final"
"C1",0,0,20.8,1007.24,468.52,468.515
"C1",0.725694444445253,210.5,20.3,1011.22,468.52,468.26
"C1",1.60416666666424,332,19,1000,468.28,467.9
"C1",2.97708333333139,469,20.3,1002.34,467.91,467.42
"C1",3.71875,162,20.3,1000.62,467.4,467.22
"C1",5.68888888888614,243,20,1002.27,467.22,466.98
"C1",7.81527777777956,141,20.1,1009.23,466.97,466.82
"C1",10.8388888888876,122,20.4,1007.72,466.81,466.7
"C1",13.8604166666701,69,20.5,1009.19,466.69,466.6
"C1",18.2409722222219,60,20.1,1006.09,466.59,466.53
"C1",21.8006944444423,53,20.5,1017.29,466.51,466.46
"C1",27.9395833333328,34,20.6,997.15,466.42,466.39
"C1",31.757638888892,27,20,1010.42,466.37,466.35
"C2",0,0,20.8,1007.24,471.9,471.9
"C2",0.725694444445253,216,20.3,1011.22,471.9,471.67
"C2",1.60416666666424,342,19,1000,471.67,471.26
"C2",2.97708333333139,436,20.3,1002.34,471.27,470.81
"C2",3.71875,181,20.3,1000.62,470.81,470.61
"C2",5.68888888888614,242,20,1002.27,470.6,470.36
"C2",7.81527777777956,142,20.1,1009.23,470.35,470.21
"C2",10.8388888888876,107,20.4,1007.72,470.21,470.09
"C2",13.8611111111095,79,20.5,1009.19,470.08,470.01
"C2",18.2409722222219,60,20.1,1006.09,469.98,469.92
"C2",21.8006944444423,52,20.5,1017.29,469.91,469.86
"C2",27.9395833333328,38,20.6,997.15,469.8,469.77
"C2",31.757638888892,27,20,1010.42,469.76,469.73
"C3",0,0,20.8,1007.24,468.3,468.3
"C3",0.725694444445253,202,20.3,1011.22,468.29,468.06
"C3",1.60416666666424,331,19,1000,468.07,467.69
"C3",2.97708333333139,434,20.3,1002.34,467.69,467.25
"C3",3.71875,207,20.3,1000.62,467.22,467.01
"C3",5.68888888888614,270,20,1002.27,467,466.72
"C3",7.81527777777956,151,20.1,1009.23,466.72,466.56
"C3",10.8388888888876,102,20.4,1007.72,466.56,466.45
"C3",13.8618055555562,75,20.5,1009.19,466.45,466.36
"C3",18.2409722222219,59,20.1,1006.09,466.36,466.29
"C3",21.8006944444423,46,20.5,1017.29,466.29,466.22
"C3",27.9395833333328,30,20.6,997.15,466.18,466.16
"C3",31.757638888892,27,20,1010.42,466.14,466.11
"D1",0,0,20.8,1007.24,471.15,471.15
"D1",0.725694444445253,144,20.3,1011.22,471.15,470.98
"D1",1.60416666666424,143,19,1000,470.99,470.83
"D1",2.97708333333139,260,20.3,1002.34,470.84,470.54
"D1",3.71875,184,20.3,1000.62,470.53,470.32
"D1",5.68888888888614,393,20,1002.27,470.3,469.85
"D1",7.81527777777956,403,20.1,1009.23,469.84,469.37
"D1",9.23958333333576,214,20.4,1001.38,469.37,469.11
"D1",10.8388888888876,185,20.4,1007.72,469.12,468.89
"D1",13.8625000000029,221,20.5,1009.19,468.89,468.61
"D1",18.2409722222219,200,20.1,1006.09,468.61,468.37
"D1",21.8006944444423,107,20.5,1017.29,468.37,468.23
"D1",27.9395833333328,60,20.6,997.15,468.16,468.09
"D1",31.757638888892,46,20,1010.42,468.07,468.01
"D2",0,0,20.8,1007.24,472.1,472.1
"D2",0.725694444445253,146,20.3,1011.22,472.1,471.94
"D2",1.60416666666424,140,19,1000,471.95,471.78
"D2",2.97708333333139,289,20.3,1002.34,471.79,471.46
"D2",3.71875,171,20.3,1000.62,471.45,471.23
"D2",5.68888888888614,384,20,1002.27,471.25,470.8
"D2",7.81527777777956,392,20.1,1009.23,470.8,470.34
"D2",9.23958333333576,223,20.4,1001.38,470.35,470.06
"D2",10.8388888888876,182,20.4,1007.72,470.08,469.85
"D2",13.8631944444423,224,20.5,1009.19,469.84,469.57
"D2",18.2409722222219,198,20.1,1006.09,469.57,469.35
"D2",21.8006944444423,108,20.5,1017.29,469.32,469.2
"D2",27.9395833333328,56,20.6,997.15,469.12,469.05
"D2",31.757638888892,44,20,1010.42,469.04,469
"D3",0,0,20.8,1007.24,472.51,472.51
"D3",0.725694444445253,141,20.3,1011.22,472.51,472.35
"D3",1.60416666666424,135,19,1000,472.37,472.21
"D3",2.97708333333139,287,20.3,1002.34,472.21,471.89
"D3",3.71875,162,20.3,1000.62,471.88,471.69
"D3",5.68888888888614,384,20,1002.27,471.69,471.25
"D3",7.81527777777956,388,20.1,1009.23,471.24,470.79
"D3",9.23958333333576,231,20.4,1001.38,470.78,470.5
"D3",10.8388888888876,181,20.4,1007.72,470.5,470.29
"D3",13.8638888888891,230,20.5,1009.19,470.28,470.01
"D3",18.2409722222219,193,20.1,1006.09,470.01,469.77
"D3",21.8006944444423,117,20.5,1017.29,469.76,469.62
"D3",27.9395833333328,64,20.6,997.15,469.56,469.48
"D3",31.757638888892,45,20,1010.42,469.47,469.42
"I1",0,0,20.8,1007.24,729.5,729.495
"I1",0.725694444445253,78,20.3,1011.22,729.5,729.41
"I1",1.60416666666424,64,19,1000,729.42,729.36
"I1",2.97708333333139,82,20.3,1002.34,729.36,729.27
"I1",3.71875,60,20.3,1000.62,729.28,729.21
"I1",5.68888888888614,103,20,1002.27,729.2,729.11
"I1",7.81527777777956,97,20.1,1009.23,729.1,729
"I1",9.23958333333576,65,20.4,1001.38,729,728.92
"I1",10.8388888888876,55,20.4,1007.72,728.94,728.88
"I1",13.8645833333358,76,20.5,1009.19,728.9,728.79
"I1",18.2409722222219,104,20.1,1006.09,728.79,728.68
"I1",21.8006944444423,82,20.5,1017.29,728.68,728.59
"I1",27.9395833333328,56,20.6,997.15,728.52,728.46
"I1",31.757638888892,55,20,1010.42,728.46,728.39
"I2",0,0,20.8,1007.24,722.09,722.085
"I2",0.725694444445253,80,20.3,1011.22,722.09,721.99
"I2",1.60416666666424,66,19,1000,722.01,721.94
"I2",2.97708333333139,93,20.3,1002.34,721.94,721.86
"I2",3.71875,52,20.3,1000.62,721.85,721.79
"I2",5.68888888888614,105,20,1002.27,721.79,721.69
"I2",7.81527777777956,104,20.1,1009.23,721.69,721.58
"I2",9.23958333333576,68,20.4,1001.38,721.57,721.51
"I2",10.8388888888876,55,20.4,1007.72,721.52,721.45
"I2",13.8652777777752,88,20.5,1009.19,721.45,721.35
"I2",18.2409722222219,105,20.1,1006.09,721.35,721.24
"I2",21.8006944444423,88,20.5,1017.29,721.23,721.14
"I2",27.9395833333328,58,20.6,997.15,721.06,721
"I2",31.757638888892,57,20,1010.42,720.99,720.92
"I3",0,0,20.8,1007.24,740.54,740.535
"I3",0.725694444445253,80,20.3,1011.22,740.54,740.45
"I3",1.60416666666424,65,19,1000,740.46,740.38
"I3",2.97708333333139,92,20.3,1002.34,740.4,740.3
"I3",3.71875,54,20.3,1000.62,740.31,740.26
"I3",5.68888888888614,106,20,1002.27,740.24,740.13
"I3",7.81527777777956,102,20.1,1009.23,740.13,740.03
"I3",9.23958333333576,70,20.4,1001.38,740.03,739.97
"I3",10.8388888888876,56,20.4,1007.72,739.96,739.9
"I3",13.8659722222219,86,20.5,1009.19,739.89,739.8
"I3",18.2409722222219,105,20.1,1006.09,739.79,739.68
"I3",21.8006944444423,86,20.5,1017.29,739.69,739.6
"I3",27.9395833333328,56,20.6,997.15,739.53,739.46
"I3",31.757638888892,56,20,1010.42,739.45,739.39
"I4",0,0,20.8,1007.24,723.78,723.775
"I4",0.725694444445253,79,20.3,1011.22,723.77,723.69
"I4",1.60416666666424,62,19,1000,723.7,723.63
"I4",2.97708333333139,91,20.3,1002.34,723.65,723.55
"I4",3.71875,50,20.3,1000.62,723.55,723.5
"I4",5.68888888888614,102,20,1002.27,723.49,723.38
"I4",7.81527777777956,97,20.1,1009.23,723.38,723.29
"I4",9.23958333333576,64,20.4,1001.38,723.29,723.22
"I4",10.8388888888876,53,20.4,1007.72,723.22,723.17
"I4",13.8666666666686,79,20.5,1009.19,723.16,723.08
"I4",18.2409722222219,101,20.1,1006.09,723.05,722.95
"I4",21.8006944444423,79,20.5,1017.29,722.96,722.87
"I4",27.9395833333328,51,20.6,997.15,722.81,722.76
"I4",31.757638888892,55,20,1010.42,722.76,722.71
"L1",0,0,20.8,1007.24,467.76,467.76
"L1",0.725694444445253,62,20.3,1011.22,467.76,467.69
"L1",1.60416666666424,57.5,19,1000,467.69,467.63
"L1",2.97708333333139,347,20.3,1002.34,467.65,467.22
"L1",3.71875,349,20.3,1000.62,467.22,466.79
"L1",4.75694444444525,326,20.3,1000,466.78,466.41
"L1",5.68888888888614,147,20,1002.27,466.41,466.23
"L1",7.81527777777956,145,20.1,1009.23,466.22,466.05
"L1",10.8388888888876,91,20.4,1007.72,466.05,465.94
"L1",13.8673611111153,60,20.5,1009.19,465.93,465.87
"L1",18.2409722222219,52,20.1,1006.09,465.86,465.81
"L1",21.8006944444423,32,20.5,1017.29,465.8,465.76
"L1",27.9395833333328,26,20.6,997.15,465.72,465.69
"L1",31.757638888892,24,20,1010.42,465.68,465.66
"L2",0,0,20.8,1007.24,468.51,468.505
"L2",0.725694444445253,61,20.3,1011.22,468.52,468.44
"L2",1.60416666666424,57,19,1000,468.45,468.39
"L2",2.97708333333139,352,20.3,1002.34,468.39,467.98
"L2",3.71875,351,20.3,1000.62,467.98,467.55
"L2",4.75694444444525,362,20.3,1000,467.53,467.12
"L2",5.68888888888614,146,20,1002.27,467.11,466.95
"L2",7.81527777777956,150,20.1,1009.23,466.94,466.77
"L2",10.8388888888876,90,20.4,1007.72,466.77,466.66
"L2",13.8680555555547,59,20.5,1009.19,466.65,466.58
"L2",18.2409722222219,55,20.1,1006.09,466.6,466.52
"L2",21.8006944444423,33,20.5,1017.29,466.51,466.46
"L2",27.9395833333328,21,20.6,997.15,466.43,466.42
"L2",31.757638888892,26,20,1010.42,466.41,466.37
"L3",0,0,20.8,1007.24,470.55,470.55
"L3",0.725694444445253,61,20.3,1011.22,470.56,470.49
"L3",1.60416666666424,60,19,1000,470.51,470.42
"L3",2.97708333333139,382,20.3,1002.34,470.43,469.99
"L3",3.71875,342,20.3,1000.62,469.97,469.56
"L3",4.75694444444525,337,20.3,1000,469.56,469.18
"L3",5.68888888888614,147,20,1002.27,469.17,468.99
"L3",7.81527777777956,144,20.1,1009.23,468.99,468.82
"L3",10.8388888888876,88,20.4,1007.72,468.81,468.71
"L3",13.8687500000015,59,20.5,1009.19,468.7,468.62
"L3",18.2409722222219,55,20.1,1006.09,468.62,468.57
"L3",21.8006944444423,40,20.5,1017.29,468.56,468.51
"L3",27.9395833333328,22,20.6,997.15,468.47,468.45
"L3",31.757638888892,26,20,1010.42,468.43,468.41
