"res.file","sample","inject.date.time","exper","id","date","xCH4","xCH4.oa"
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","L1170217","27-02-2017 09:35:30",2,"L1","17022017",0.5556,0.5556
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","L3170217","27-02-2017 09:52:59",2,"L3","17022017",0.5555,0.5555
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","C4170217","27-02-2017 10:11:20",2,"C4","17022017",0.6174,0.6174
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","B1170217","27-02-2017 10:29:58",2,"B1","17022017",0.5888,0.5888
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","A3170217","27-02-2017 10:48:49",2,"A3","17022017",0.5778,0.5778
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","I1170217","27-02-2017 11:07:48",2,"I1","17022017",0.6334,0.6334
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","L2170217","27-02-2017 11:27:15",2,"L2","17022017",0.5565,0.5565
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","B2170217","27-02-2017 11:46:24",2,"B2","17022017",0.5891,0.5891
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","A2170217","27-02-2017 12:05:41",2,"A2","17022017",0.5771,0.5771
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","C6170217","27-02-2017 12:24:56",2,"C6","17022017",0.6173,0.6173
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","A1170217","27-02-2017 12:44:19",2,"A1","17022017",0.5813,0.5813
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","C3170217","27-02-2017 13:03:45",2,"C3","17022017",0.637,0.637
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","E1170217","27-02-2017 13:23:21",2,"E1","17022017",0.6899,0.6899
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","C1170217","27-02-2017 13:42:36",2,"C1","17022017",0.615,0.615
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","C2170217","27-02-2017 14:02:09",2,"C2","17022017",0.6361,0.6361
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","I3170217","27-02-2017 14:21:58",2,"I3","17022017",0.6309,0.6309
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","E3170217","27-02-2017 14:41:49",2,"E3","17022017",0.6931,0.6931
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","B3170217","27-02-2017 15:02:03",2,"B3","17022017",0.5761,0.5761
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","E2170217","27-02-2017 15:22:31",2,"E2","17022017",0.6948,0.6948
"data files/InterLab15112016-21112016_InterLab17022017b1.csv","I2170217","27-02-2017 15:42:45",2,"I2","17022017",0.6402,0.6402
"data files/InterLab15112016-21112016_InterLab18012017.csv","L2180117","17-02-2017 09:54:11",2,"L2","18012017",0.3255,0.3341
"data files/InterLab15112016-21112016_InterLab18012017.csv","L1180117","17-02-2017 10:11:23",2,"L1","18012017",0.343,0.3518
"data files/InterLab15112016-21112016_InterLab18012017.csv","L3180117","17-02-2017 10:28:49",2,"L3","18012017",0.3199,0.3284
"data files/InterLab15112016-21112016_InterLab18012017.csv","I3180117","17-02-2017 10:46:34",2,"I3","18012017",0.2609,0.2685
"data files/InterLab15112016-21112016_InterLab18012017.csv","I2180117","17-02-2017 11:04:27",2,"I2","18012017",0.2303,0.2372
"data files/InterLab15112016-21112016_InterLab18012017.csv","I1180117","17-02-2017 11:22:20",2,"I1","18012017",0.2744,0.2822
"data files/InterLab15112016-21112016_InterLab18012017.csv","A1180117","17-02-2017 11:40:12",2,"A1","18012017",0.547,0.5566
"data files/InterLab15112016-21112016_InterLab18012017.csv","C2180117","17-02-2017 11:57:55",2,"C2","18012017",0.6239,0.633
"data files/InterLab15112016-21112016_InterLab18012017.csv","A3180117","17-02-2017 12:15:42",2,"A3","18012017",0.5691,0.5786
"data files/InterLab15112016-21112016_InterLab18012017.csv","B2180117","17-02-2017 12:33:31",2,"B2","18012017",0.474,0.4837
"data files/InterLab15112016-21112016_InterLab18012017.csv","B3180117","17-02-2017 12:51:20",2,"B3","18012017",0.5429,0.5525
"data files/InterLab15112016-21112016_InterLab18012017.csv","C3180117","17-02-2017 13:09:08",2,"C3","18012017",0.6482,0.657
"data files/InterLab15112016-21112016_InterLab18012017.csv","A2180117","17-02-2017 13:26:51",2,"A2","18012017",0.5596,0.5691
"data files/InterLab15112016-21112016_InterLab18012017.csv","E1180117","17-02-2017 13:44:37",2,"E1","18012017",0.6168,0.6259
"data files/InterLab15112016-21112016_InterLab18012017.csv","B1180117","17-02-2017 14:02:10",2,"B1","18012017",0.4762,0.4859
"data files/InterLab15112016-21112016_InterLab18012017.csv","C1180117","17-02-2017 14:19:52",2,"C1","18012017",0.6354,0.6443
"data files/InterLab15112016-21112016_InterLab18012017.csv","E2180117","17-02-2017 14:37:22",2,"E2","18012017",0.5845,0.5939
"data files/InterLab15112016-21112016_InterLab18012017.csv","C6180117","17-02-2017 14:54:58",2,"C6","18012017",0.552,0.5616
"data files/InterLab15112016-21112016_InterLab18012017.csv","C5180117","17-02-2017 15:12:34",2,"C5","18012017",0.5518,0.5614
"data files/InterLab15112016-21112016_InterLab18012017.csv","C4180117","17-02-2017 15:30:14",2,"C4","18012017",0.5883,0.5977
"data files/InterLab15112016-21112016_InterLab18012017.csv","E3180117","17-02-2017 15:47:48",2,"E3","18012017",0.6225,0.6316
"data files/InterLab15112016-21112016_InterLab31012017.csv","E1310117","20-02-2017 11:16:02",2,"E1","01022017",0.7061,0.7061
"data files/InterLab15112016-21112016_InterLab31012017.csv","B3310117","20-02-2017 11:33:16",2,"B3","01022017",0.5661,0.5661
"data files/InterLab15112016-21112016_InterLab31012017.csv","I2310117","20-02-2017 11:51:05",2,"I2","01022017",0.6095,0.6095
"data files/InterLab15112016-21112016_InterLab31012017.csv","B1310117","20-02-2017 12:09:09",2,"B1","01022017",0.5908,0.5908
"data files/InterLab15112016-21112016_InterLab31012017.csv","L1310117","20-02-2017 12:27:14",2,"L1","01022017",0.5341,0.5341
"data files/InterLab15112016-21112016_InterLab31012017.csv","E2310117","20-02-2017 12:45:17",2,"E2","01022017",0.71,0.71
"data files/InterLab15112016-21112016_InterLab31012017.csv","C3310117","20-02-2017 13:03:21",2,"C3","01022017",0.62,0.62
"data files/InterLab15112016-21112016_InterLab31012017.csv","L2310117","20-02-2017 13:21:26",2,"L2","01022017",0.5378,0.5378
"data files/InterLab15112016-21112016_InterLab31012017.csv","I1310117","20-02-2017 13:39:20",2,"I1","01022017",0.6145,0.6145
"data files/InterLab15112016-21112016_InterLab31012017.csv","C1310117","20-02-2017 13:57:20",2,"C1","01022017",0.62,0.62
"data files/InterLab15112016-21112016_InterLab31012017.csv","I3310117","20-02-2017 14:15:15",2,"I3","01022017",0.6165,0.6165
"data files/InterLab15112016-21112016_InterLab31012017.csv","C2310117","20-02-2017 14:33:04",2,"C2","01022017",0.6222,0.6222
"data files/InterLab15112016-21112016_InterLab31012017.csv","A1310117","20-02-2017 14:51:03",2,"A1","01022017",0.5689,0.5689
"data files/InterLab15112016-21112016_InterLab31012017.csv","L3310117","20-02-2017 15:09:00",2,"L3","01022017",0.5358,0.5358
"data files/InterLab15112016-21112016_InterLab31012017.csv","B2310117","20-02-2017 15:26:54",2,"B2","01022017",0.5815,0.5815
"data files/InterLab15112016-21112016_InterLab31012017.csv","C4310117","20-02-2017 15:45:32",2,"C4","31012017",0.6168,0.6168
"data files/InterLab15112016-21112016_InterLab31012017.csv","C5310117","20-02-2017 16:03:16",2,"C5","31012017",0.6284,0.6284
"data files/InterLab15112016-21112016_InterLab31012017.csv","A3310117","20-02-2017 16:21:40",2,"A3","01022017",0.5636,0.5636
"data files/InterLab15112016-21112016_InterLab31012017.csv","C6310117","20-02-2017 16:40:11",2,"C6","31012017",0.6226,0.6226
"data files/InterLab15112016-21112016_InterLab31012017.csv","E3310117","20-02-2017 16:58:57",2,"E3","01022017",0.7077,0.7077
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","A1170217","20-03-2017 14:29:52",1,"A1","17022017",0.6329,0.6329
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","B3170217","20-03-2017 14:47:56",1,"B3","17022017",0.6387,0.6387
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","C1170217","20-03-2017 15:06:56",1,"C1","17022017",0.6531,0.6531
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","A3170217","20-03-2017 15:26:18",1,"A3","17022017",0.6292,0.6292
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","I4170217","20-03-2017 15:45:52",1,"I4","17022017",0.6681,0.6681
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","C2170217","20-03-2017 16:05:35",1,"C2","17022017",0.6529,0.6529
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","A2170217","20-03-2017 16:25:29",1,"A2","17022017",0.6288,0.6288
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","E3170217","20-03-2017 16:45:23",1,"E3","17022017",0.7008,0.7008
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","C3170217","20-03-2017 17:05:14",1,"C3","17022017",0.6355,0.6355
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","L2170217","20-03-2017 17:25:09",1,"L2","17022017",0.6412,0.6412
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","E2170217","20-03-2017 17:44:54",1,"E2","17022017",0.7,0.7
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","I2170217","20-03-2017 18:04:42",1,"I2","17022017",0.7221,0.7221
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","I1170217","20-03-2017 18:24:29",1,"I1","17022017",0.6759,0.6759
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","L1170217","20-03-2017 18:44:25",1,"L1","17022017",0.6401,0.6401
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","L3170217","20-03-2017 19:04:09",1,"L3","17022017",0.6369,0.6369
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","E1170217","20-03-2017 19:24:03",1,"E1","17022017",0.6879,0.6879
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","I3170217","20-03-2017 19:43:56",1,"I3","17022017",0.7031,0.7031
"data files/InterLab15112016-21112016_InterLabB1_17022017.csv","NONAME","20-03-2017 20:43:23",1,"I5","NAME",0.6892,0.6892
"data files/Sasha_InterLab06022017.csv","L3060217","08-02-2017 11:31:45",2,"L3","06022017",0.5391,0.5512
"data files/Sasha_InterLab06022017.csv","C2060217","08-02-2017 11:48:19",2,"C2","06022017",0.6164,0.6278
"data files/Sasha_InterLab06022017.csv","B3060217","08-02-2017 12:05:12",2,"B3","06022017",0.5683,0.5801
"data files/Sasha_InterLab06022017.csv","B2060217","08-02-2017 12:22:10",2,"B2","06022017",0.5846,0.5963
"data files/Sasha_InterLab06022017.csv","I1060217","08-02-2017 12:39:17",2,"I1","06022017",0.6235,0.6348
