"method","descrip","time.d","mean","se","sd","n"
"man","Cellulose",31.1,367.622409860743,8.93227664319212,12.6321467716707,2
"man","Ethanol",31.1,735.951817451742,11.935842697839,20.673485983807,3
"man","FI1",31.1,381.059056736378,6.15676056247318,10.6638221042399,3
"man","FI2",31.1,377.556994828728,4.38241365046825,7.59056310239439,3
"man","FI3",31.1,498.034102588139,20.308341231115,35.175078829737,3
"vol","Cellulose",31.1,367.328673955419,10.9584462045382,15.4975832449938,2
"vol","Ethanol",31.1,733.794547569689,16.4550780572341,28.5010312376412,3
"vol","FI1",31.1,389.002653017602,5.57565093594932,9.65731070633318,3
"vol","FI2",31.1,381.921025352519,7.33102137317418,12.697701489711,3
"vol","FI3",31.1,537.242481309723,15.1291824775097,26.2045127280276,3
"grav","Cellulose",31.1,361.659120894683,9.43188080056156,13.3386937468406,2
"grav","Ethanol",31.1,733.633971296613,17.8273876532314,30.8779411816229,3
"grav","FI1",31.1,378.742805028559,4.93690736003114,8.55097437983467,3
"grav","FI2",31.1,380.830658349042,5.64567038153251,9.77858794360107,3
"grav","FI3",31.1,521.502033722217,8.84006434320378,15.3114405846069,3
"gd01","Cellulose",31.1,395.845003270842,29.8569316810419,42.2240777141763,2
"gd01","Ethanol",31.1,711.868492677241,30.4018258125804,52.6575069502482,3
"gd01","FI1",31.1,391.147872155527,11.914088885907,20.6358072762825,3
"gd01","FI2",31.1,381.361122651278,24.9990329276799,43.2995951708289,3
"gd01","FI3",31.1,491.439985808765,34.6554059621034,60.0249238832885,3
"gd02","Cellulose",31.1,387.40732308277,39.7658166434479,56.2373572160058,2
"gd02","Ethanol",31.1,665.709905420988,47.0381193119508,81.4724125407856,3
"gd02","FI1",20.1,416.411517141875,NA,NA,1
"gd02","FI1",31.1,382.364303662707,17.3424035842991,24.5258623530636,2
"gd02","FI2",20.1,364.291908219179,NA,NA,1
"gd02","FI2",31.1,391.889639254954,20.5668919609826,29.0859775470838,2
"gd02","FI3",20.1,538.774200013807,NA,NA,1
"gd02","FI3",31.1,528.313219650498,35.5257636411249,50.2410167549398,2
"gd03","Cellulose",31.1,387.40732308277,39.765816643448,56.2373572160059,2
"gd03","Ethanol",31.1,665.709905420989,47.0381193119508,81.4724125407856,3
"gd03","FI1",31.1,375.863922244199,19.0872293057876,33.0600509333418,3
"gd03","FI2",31.1,365.114478619434,32.9695688305119,57.1049683180858,3
"gd03","FI3",31.1,497.54882696265,46.4466341004565,80.4479301025519,3
"gd04","Cellulose",31.1,447.149594010097,56.7500572289456,80.2567005986242,2
"gd04","Ethanol",31.1,636.051314221284,49.0198055335182,84.9047937611995,3
"gd04","FI1",31.1,392.657906761091,20.9347421539174,36.2600370539388,3
"gd04","FI2",31.1,371.253514870345,25.4756511579346,44.1251221614437,3
"gd04","FI3",31.1,523.207599082831,22.3993325332021,38.7967820031364,3
"gd05","Cellulose",31.1,412.928997293593,34.4178887966652,48.6742451244929,2
"gd05","Ethanol",31.1,621.193173035433,12.9210449324339,22.3799063098559,3
"gd05","FI1",20.1,358.545269055155,NA,NA,1
"gd05","FI1",31.1,354.807591660572,17.9482003545627,25.3825883616121,2
"gd05","FI2",20.1,348.01677099711,NA,NA,1
"gd05","FI2",31.1,360.856437267934,70.2364034392755,99.3292743161318,2
"gd05","FI3",31.1,468.581885429964,15.0444142560282,26.0576898615544,3
"gd06","Cellulose",31.1,412.928997293593,34.4178887966653,48.674245124493,2
"gd06","Ethanol",31.1,621.193173035433,12.9210449324339,22.3799063098558,3
"gd06","FI1",31.1,326.241511584137,30.3943397130613,52.6445406455305,3
"gd06","FI2",31.1,326.926579757471,52.8776761338845,91.5868216500602,3
"gd06","FI3",31.1,468.581885429964,15.0444142560282,26.0576898615544,3
"gd07","Cellulose",31.1,404.323358648064,36.6520579288604,51.8338374118787,2
