method,descrip,elapsed.time,mean,se,sd,n,exper,leak.l,rsd,lwr,upr,,
grav,Ethanol,30,751.8153784,24.41068699,42.28055011,3,2,FALSE,5.623794262,709.5348283,794.0959285,5.003691081,grav
grav,FIA,30,385.8489,8.855815665,15.33872267,3,2,FALSE,3.975318492,370.5101773,401.1876227,11.84852896,gd03
grav,FIB,30,388.6737084,9.394300282,16.27140539,3,2,FALSE,4.186392091,372.402303,404.9451138,13.76734978,gd06
grav,FIC,30,535.7679234,16.7064983,28.93650388,3,2,FALSE,5.400939962,506.8314195,564.7044272,,
gd01,Ethanol,30,720.1807751,24.2492997,42.00101912,3,2,FALSE,5.832010598,678.1797559,762.1817942,5.623794262,grav.max
gd01,FIA,30,395.8696394,8.106696803,14.04121074,3,2,FALSE,3.546927914,381.8284287,409.9108502,14.56895531,gd03.max
gd01,FIB,30,385.7295653,22.92359996,39.70483982,3,2,FALSE,10.2934396,346.0247254,425.4344051,27.65112328,gd06.max
gd01,FIC,30,499.5115557,29.55157623,51.18483147,3,2,FALSE,10.24697645,448.3267242,550.6963872,,
gd02,Ethanol,30,668.5727115,58.908058,102.0317494,3,2,FALSE,15.26112982,566.5409621,770.604461,,
gd02,FIA,30,390.5559989,16.67312731,28.87870363,3,2,FALSE,7.39425427,361.6772953,419.4347025,,
gd02,FIB,30,379.5229193,30.65121187,53.08945627,3,2,FALSE,13.98847173,326.4334631,432.6123756,,
gd02,FIC,30,524.4125919,42.44431818,73.51571558,3,2,FALSE,14.01867856,450.8968763,597.9283075,,
gd03,Ethanol,30,690.6199298,42.7025457,73.96297876,3,2,FALSE,10.70965021,616.6569511,764.5829086,,
gd03,FIA,30,386.2546448,16.89064324,29.25545226,3,2,FALSE,7.574136042,356.9991925,415.510097,,
gd03,FIB,30,376.4923227,31.60828626,54.74715775,3,2,FALSE,14.54137427,321.7451649,431.2394804,,
gd03,FIC,30,517.8388278,43.55744479,75.44370742,3,2,FALSE,14.56895531,442.3951204,593.2825352,,
gd04,Ethanol,30,656.7432937,52.75984849,91.38273818,3,2,FALSE,13.91452932,565.3605556,748.1260319,,
gd04,FIA,30,403.0134572,22.28002273,38.59013136,3,2,FALSE,9.575395231,364.4233259,441.6035886,,
gd04,FIB,30,381.4178359,25.57752334,44.30156995,3,2,FALSE,11.61497072,337.116266,425.7194059,,
gd04,FIC,30,542.2670381,26.11116742,45.22586861,3,2,FALSE,8.340147092,497.0411695,587.4929067,,
gd05,Ethanol,30,612.1054693,36.24634377,62.780509,3,2,FALSE,10.25648555,549.3249603,674.8859783,,
gd05,FIA,30,337.0122636,30.00547765,51.97101179,3,2,FALSE,15.42110404,285.0412518,388.9832754,,
gd05,FIB,30,337.2582138,51.48428204,89.17339228,3,2,FALSE,26.44068807,248.0848215,426.4316061,,
gd05,FIC,30,486.3533415,17.66827343,30.60234726,3,2,FALSE,6.292204585,455.7509943,516.9556888,,
gd06,Ethanol,30,633.5601039,17.6676192,30.6012141,3,2,FALSE,4.83004121,602.9588897,664.161318,,
gd06,FIA,30,331.1174059,30.44364086,52.72993274,3,2,FALSE,15.92484472,278.3874731,383.8473386,,
gd06,FIB,30,332.6309074,53.10247361,91.9761823,3,2,FALSE,27.65112328,240.6547251,424.6070897,,
gd06,FIC,30,477.6943748,18.37742784,31.83063872,3,2,FALSE,6.6633899,445.8637361,509.5250136,,
gd07,Ethanol,30,711.4762254,23.8447259,41.30027675,3,2,FALSE,5.804870954,670.1759486,752.7765021,,
gd07,FIA,30,399.0755714,8.343640984,14.45161011,3,2,FALSE,3.621271544,384.6239613,413.5271815,,
gd07,FIB,30,388.7630632,23.66121894,40.98243338,3,2,FALSE,10.54175081,347.7806298,429.7454966,,
gd07,FIC,30,516.3353196,30.54418766,52.9040849,3,2,FALSE,10.24607128,463.4312347,569.2394045,,
gd08,Ethanol,30,686.5105438,41.13365144,71.2455742,3,2,FALSE,10.37792862,615.2649696,757.756118,,
gd08,FIA,30,386.9772684,16.13943582,27.95432284,3,2,FALSE,7.223763545,359.0229456,414.9315913,,
gd08,FIB,30,375.9032037,30.33202198,52.53660316,3,2,FALSE,13.9760988,323.3666005,428.4398069,,
gd08,FIC,30,518.1163477,41.49904188,71.878449,3,2,FALSE,13.87303244,446.2378987,589.9947967,,
gd09,Ethanol,30,688.0104701,42.00028029,72.74661939,3,2,FALSE,10.57347563,615.2638507,760.7570895,,
gd09,FIA,30,385.86717,16.58028739,28.71790017,3,2,FALSE,7.442431593,357.1492698,414.5850702,,
gd09,FIB,30,375.6437245,31.12776674,53.91487352,3,2,FALSE,14.35266185,321.728851,429.558598,,
gd09,FIC,30,517.1942061,42.7284926,74.00792012,3,2,FALSE,14.30950294,443.1862859,591.2021262,,
gd10,Ethanol,30,674.289705,31.90332787,55.2581848,3,2,FALSE,8.195021278,619.0315202,729.5478898,,
gd10,FIA,30,404.289233,16.23289726,28.11620281,3,2,FALSE,6.95447727,376.1730301,432.4054358,,
gd10,FIB,30,387.0776279,23.69614826,41.04293272,3,2,FALSE,10.60328207,346.0346952,428.1205606,,
gd10,FIC,30,548.0889224,27.62906038,47.85493634,3,2,FALSE,8.731235824,500.2339861,595.9438588,,
gd11,Ethanol,30,659.259748,24.79118678,42.93959508,3,2,FALSE,6.513304538,616.3201529,702.199343,,
gd11,FIA,30,357.5400986,23.32123923,40.39357124,3,2,FALSE,11.29763386,317.1465274,397.9336698,,
gd11,FIB,30,353.5140107,41.36874477,71.65276778,3,2,FALSE,20.26872079,281.8612429,425.1667785,,
gd11,FIC,30,501.5170007,28.13047715,48.72341566,3,2,FALSE,9.715207181,452.793585,550.2404163,,
gd12,Ethanol,30,659.773872,25.37421198,43.94942435,3,2,FALSE,6.661285967,615.8244476,703.7232963,,
gd12,FIA,30,356.0691747,23.56122523,40.80923919,3,2,FALSE,11.46104243,315.2599355,396.8784139,,
gd12,FIB,30,352.8542633,42.28246001,73.235369,3,2,FALSE,20.75513225,279.6188943,426.0896323,,
gd12,FIC,30,500.6255849,28.4142632,49.21494752,3,2,FALSE,9.830689641,451.4106374,549.8405324,,
