"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4","xCH4.oa","date.time","start.time","elapsed.time","id.exper"
"1","C1","07122016",1255,"1151",160,1020.9,0.377,223,1020.7,NA,"08-12-2016 14:53:19",0.6492,0.6491,2016-12-07 11:51:00,2016-11-15 14:40:00,21.8826388888889,"C1-E1"
"1","C1","15112016",1440,"1440",8,1023.9,0,0,1023.9,NA,NA,NA,NA,2016-11-15 14:40:00,2016-11-15 14:40:00,0,"C1-E1"
"1","C1","16112016",1503,"1426",27,NA,0.874,580,1023.2,NA,"22-11-2016 15:33:34",0.6598,0.6539,2016-11-16 14:26:00,2016-11-15 14:40:00,0.990277777777778,"C1-E1"
"1","C1","16122016",1123,"1053",178,1020.7,0.276,164,1020.5,NA,"02-01-2017 13:34:25",0.6436,0.6403,2016-12-16 10:53:00,2016-11-15 14:40:00,30.8423611111111,"C1-E1"
"1","C1","17112016",2239,"2127",45,1023.4,1.072,730,1022.6,NA,"22-11-2016 20:10:29",0.6739,0.6681,2016-11-17 21:27:00,2016-11-15 14:40:00,2.28263888888889,"C1-E1"
"1","C1","18112016",1654,"1628",70,1022.6,0.589,382,1022.1,NA,"24-11-2016 09:52:51",0.6588,0.6521,2016-11-18 16:28:00,2016-11-15 14:40:00,3.075,"C1-E1"
"1","C1","19112016",1857,"1842",81,1022.1,0.494,319,1021.8,NA,"23-11-2016 11:24:40",0.6595,0.6535,2016-11-19 18:42:00,2016-11-15 14:40:00,4.16805555555556,"C1-E1"
"1","C1","21112016",941,"0915",103,1021.8,0.413,262,1021.5,NA,"24-11-2016 14:40:39",0.662,0.6553,2016-11-21 09:15:00,2016-11-15 14:40:00,5.77430555555556,"C1-E1"
"1","C1","24112016",1100,"1059",111,1021.4,0.376,226,1021.2,NA,"25-11-2016 15:20:00",0.6567,0.654,2016-11-24 10:59:00,2016-11-15 14:40:00,8.84652777777778,"C1-E1"
"1","C1","29112016",916,"0916",128,1021.2,0.353,212,1021,NA,"01-12-2016 15:59:34",0.6555,0.6525,2016-11-29 09:16:00,2016-11-15 14:40:00,13.775,"C1-E1"
"1","C2","07122016",1258,"1151",161,1035.1,0.367,226,1034.9,NA,"08-12-2016 12:29:29",0.6481,0.648,2016-12-07 11:51:00,2016-11-15 14:40:00,21.8826388888889,"C2-E1"
"1","C2","15112016",1440,"1440",9,1037.9,0,0,1037.9,NA,NA,NA,NA,2016-11-15 14:40:00,2016-11-15 14:40:00,0,"C2-E1"
"1","C2","16112016",1505,"1426",28,1037.9,0.83,530,1037.3,NA,"22-11-2016 21:06:22",0.671,0.6652,2016-11-16 14:26:00,2016-11-15 14:40:00,0.990277777777778,"C2-E1"
"1","C2","16122016",1126,"1053",179,1034.8,0.271,162,1034.7,NA,"02-01-2017 12:20:19",0.6436,0.6404,2016-12-16 10:53:00,2016-11-15 14:40:00,30.8423611111111,"C2-E1"
"1","C2","17112016",2243,"2127",46,1037.3,1.053,700,1036.6,NA,"22-11-2016 22:58:16",0.6839,0.6782,2016-11-17 21:27:00,2016-11-15 14:40:00,2.28263888888889,"C2-E1"
"1","C2","18112016",1656,"1628",71,1036.6,0.542,353,1036.2,NA,"22-11-2016 16:46:18",0.6655,0.6597,2016-11-18 16:28:00,2016-11-15 14:40:00,3.075,"C2-E1"
"1","C2","19112016",1858,"1842",82,1036.2,0.454,291,1035.9,NA,"23-11-2016 12:36:58",0.661,0.655,2016-11-19 18:42:00,2016-11-15 14:40:00,4.16805555555556,"C2-E1"
"1","C2","21112016",943,"0915",104,1035.9,0.391,250,1035.6,NA,"24-11-2016 17:04:05",0.6602,0.6534,2016-11-21 09:15:00,2016-11-15 14:40:00,5.77430555555556,"C2-E1"
"1","C2","24112016",1103,"1059",112,1035.6,0.363,214,1035.3,NA,"25-11-2016 14:08:28",0.6552,0.6525,2016-11-24 10:59:00,2016-11-15 14:40:00,8.84652777777778,"C2-E1"
"1","C2","29112016",920,"0916",129,1035.3,0.35,210,1035.1,NA,"01-12-2016 17:29:01",0.655,0.6521,2016-11-29 09:16:00,2016-11-15 14:40:00,13.775,"C2-E1"
"1","C3","07122016",1302,"1151",162,1054.9,0.397,238,1054.6,NA,"08-12-2016 10:23:35",0.6479,0.6478,2016-12-07 11:51:00,2016-11-15 14:40:00,21.8826388888889,"C3-E1"
"1","C3","15112016",1440,"1440",10,1057.6,0,0,1057.6,NA,NA,NA,NA,2016-11-15 14:40:00,2016-11-15 14:40:00,0,"C3-E1"
"1","C3","16112016",1508,"1426",29,1057.6,0.842,550,1057.1,NA,"23-11-2016 18:00:22",0.6747,0.6688,2016-11-16 14:26:00,2016-11-15 14:40:00,0.990277777777778,"C3-E1"
"1","C3","16122016",1128,"1053",180,1054.6,0.265,154,1054.4,NA,"02-01-2017 14:29:11",0.6416,0.6383,2016-12-16 10:53:00,2016-11-15 14:40:00,30.8423611111111,"C3-E1"
"1","C3","17112016",2245,"2127",47,1057.2,1.059,682,1056.5,NA,"24-11-2016 10:10:32",0.6862,0.6797,2016-11-17 21:27:00,2016-11-15 14:40:00,2.28263888888889,"C3-E1"
"1","C3","18112016",1659,"1628",72,1056.4,0.554,373,1056,NA,"22-11-2016 23:16:50",0.6642,0.6583,2016-11-18 16:28:00,2016-11-15 14:40:00,3.075,"C3-E1"
"1","C3","19112016",1900,"1842",83,1056,0.436,277,1055.7,NA,"23-11-2016 09:55:02",0.6614,0.6554,2016-11-19 18:42:00,2016-11-15 14:40:00,4.16805555555556,"C3-E1"
"1","C3","21112016",945,"0915",105,1055.7,0.396,250,1055.4,NA,"24-11-2016 13:47:22",0.6624,0.6557,2016-11-21 09:15:00,2016-11-15 14:40:00,5.77430555555556,"C3-E1"
"1","C3","24112016",1106,"1059",113,1055.4,0.387,228,1055.1,NA,"25-11-2016 12:01:40",0.6566,0.6539,2016-11-24 10:59:00,2016-11-15 14:40:00,8.84652777777778,"C3-E1"
"1","C3","29112016",925,"0916",130,1055.1,0.376,220,1054.9,NA,"01-12-2016 16:17:17",0.6564,0.6534,2016-11-29 09:16:00,2016-11-15 14:40:00,13.775,"C3-E1"
"1","E1","07122016",1208,"1151",150,1062.8,0.124,65,1062.7,NA,"08-12-2016 11:34:31",0.7037,0.7036,2016-12-07 11:51:00,2016-11-15 14:40:00,21.8826388888889,"E1-E1"
"1","E1","15112016",1440,"1440",11,1065.9,0,0,1065.9,NA,NA,NA,NA,2016-11-15 14:40:00,2016-11-15 14:40:00,0,"E1-E1"
"1","E1","16112016",1439,"1426",24,1065.9,0.421,251,1065.6,NA,"22-11-2016 20:29:10",0.5955,0.5891,2016-11-16 14:26:00,2016-11-15 14:40:00,0.990277777777778,"E1-E1"
"1","E1","16122016",1105,"1053",168,1062.6,0.085,46,1062.5,NA,"02-01-2017 11:43:19",0.6931,0.69,2016-12-16 10:53:00,2016-11-15 14:40:00,30.8423611111111,"E1-E1"
"1","E1","17112016",2250,"2127",48,1065.7,0.943,596,1065.1,NA,"24-11-2016 10:28:00",0.8017,0.7969,2016-11-17 21:27:00,2016-11-15 14:40:00,2.28263888888889,"E1-E1"
"1","E1","18112016",1639,"1628",64,1064.9,1.338,830,1064.1,NA,"22-11-2016 19:33:15",0.7603,0.7555,2016-11-18 16:28:00,2016-11-15 14:40:00,3.075,"E1-E1"
