"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","xCH4.GC","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"2","A1","17012017",1520,"1520",185,826.2,0,0,826.2,NA,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,20,30,1.01325,1.5,0,0,0,0,0,0,0,0,0.536883828392118,"",0,0,NA,NA
"2","A1","18012017",1613,"1527",220,826.2,0.959,790,825.3,NA,"17-02-2017 11:40:12",0.5566,0.547,2017-01-18 15:27:00,2017-01-17 15:20:00,1,20,30,1.01325,1.5,0.900000000000091,0.900000000000091,0,0.900000000000091,0,0.900000000000091,680.391904535665,680.391904535665,0.536883828392118,"",366.031153985361,366.031153985361,680.391904535665,366.031153985361
"2","A1","19012017",1114,"1103",233,825.3,0.966,790,824.3,NA,"06-02-2017 15:30:33",0.5135,0.5017,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,20,30,1.01325,1.5,1,1,0,1.90000000000009,0,1.90000000000009,755.991005039552,1436.38290957522,0.536883828392118,"",406.701282205916,772.732436191277,944.98875629944,508.376602757394
"2","A1","20012017",1523,"1450",265,824.3,0.564,449,823.8,NA,"02-02-2017 18:22:23",0.5491,0.5491,2017-01-20 14:50:00,2017-01-17 15:20:00,3,20,30,1.01325,1.5,0.5,0.5,0,2.40000000000009,0,2.40000000000009,377.995502519776,1814.37841209499,0.536883828392118,"",203.350641102958,976.083077294234,314.996252099813,169.458867585798
"2","A1","22012017",625,"0617",280,823.8,0.338,260,823.5,NA,"10-02-2017 21:06:28",0.5605,0.5491,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,20,30,1.01325,1.5,0.299999999999955,0.299999999999955,0,2.70000000000005,0,2.70000000000005,226.797301511831,2041.17571360682,0.536883828392118,"",122.010384661756,1098.09346195599,141.748313444895,76.2564904135976
"2","A1","24012017",1018,"0923",313,823.4,0.241,184,823.2,NA,"03-02-2017 09:13:31",0.5753,0.565,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,20,30,1.01325,1.5,0.299999999999955,0.199999999999932,0.100000000000023,3,0.100000000000023,2.89999999999998,226.797301511831,2267.97301511866,0.536883828392118,"",122.010384661756,1220.10384661775,103.089682505378,55.4592657553437
"2","A1","28012017",1829,"1822",328,823.2,0.251,200,823,NA,"09-02-2017 14:30:48",0.5765,0.5654,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,3.20000000000005,0.100000000000023,3.10000000000002,151.198201007945,2419.1712161266,0.536883828392118,"",81.3402564412016,1301.44410305895,35.162372327429,18.9163387072562
"2","A1","01022017",1053,"1013",367,823,0.13,95,822.9,NA,"20-02-2017 14:51:03",0.5689,0.5689,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.30000000000007,0.100000000000023,3.20000000000005,75.5991005039724,2494.77031663057,0.536883828392118,"",40.6701282206008,1342.11423127955,20.4321893253979,10.9919265461083
"2","A1","06022017",1759,"1701",391,822.9,0.137,97,822.8,NA,"08-02-2017 16:25:28",0.5839,0.5721,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.40000000000009,0.100000000000023,3.30000000000007,75.5991005039724,2570.36941713455,0.536883828392118,"",40.6701282206008,1382.78435950015,14.2639812271646,7.67360909822657
"2","A1","17022017",1707,"1707",397,822.8,0.169,123,822.6,"Initial mass (822.4) below final mass even after removing 123 mL biogas. Must be data recording error but which one? Suspect mass.init, so set to previous mass.final value. This is the most consitent explanation.","27-02-2017 12:44:19",0.5813,0.5813,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,20,30,1.01325,1.5,0.199999999999932,0.199999999999932,0,3.60000000000002,0.100000000000023,3.5,151.198201007859,2721.5676181424,0.536883828392118,"",81.3402564411554,1464.12461594131,13.7452910007144,7.39456876737776
"2","A2","17012017",1520,"1520",186,842.7,0,0,842.7,NA,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,20,30,1.01325,1.5,0,0,0,0,0,0,0,0,0.539350593535998,"",0,0,NA,NA
"2","A2","18012017",1616,"1527",221,842.7,0.937,763,841.8,NA,"17-02-2017 13:26:51",0.5691,0.5596,2017-01-18 15:27:00,2017-01-17 15:20:00,1,20,30,1.01325,1.5,0.900000000000091,0.900000000000091,0,0.900000000000091,0,0.900000000000091,681.993217697379,681.993217697379,0.539350593535998,"",368.574362426518,368.574362426518,681.993217697379,368.574362426518
"2","A2","19012017",1118,"1103",234,841.8,1.009,821,840.8,NA,"06-02-2017 14:38:54",0.5231,0.5113,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,20,30,1.01325,1.5,1,1,0,1.90000000000009,0,1.90000000000009,757.770241885901,1439.76345958328,0.539350593535998,"",409.527069362756,778.101431789275,947.212802357376,511.908836703446
"2","A2","20012017",1525,"1450",266,840.8,0.539,434,840.3,NA,"02-02-2017 17:10:07",0.5455,0.5455,2017-01-20 14:50:00,2017-01-17 15:20:00,3,20,30,1.01325,1.5,0.5,0.5,0,2.40000000000009,0,2.40000000000009,378.88512094295,1818.64858052623,0.539350593535998,"",204.763534681378,982.864966470653,315.737600785792,170.636278901149
"2","A2","22012017",627,"0617",281,840.3,0.338,270,840,NA,"10-02-2017 21:24:12",0.5625,0.5511,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,20,30,1.01325,1.5,0.299999999999955,0.299999999999955,0,2.70000000000005,0,2.70000000000005,227.331072565736,2045.97965309197,0.539350593535998,"",122.858120808808,1105.72308727946,142.081920353585,76.7863255055052
"2","A2","24012017",1021,"0923",314,840,0.242,188,839.8,"Check final mass","03-02-2017 12:45:44",0.5672,0.5569,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,2.90000000000009,0,2.90000000000009,151.554048377215,2197.53370146918,0.539350593535998,"",81.9054138725699,1187.62850115203,68.8882038078248,37.2297335784409
"2","A2","28012017",1832,"1822",329,839.8,0.258,192,839.5,NA,"09-02-2017 15:23:24",0.5734,0.5623,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,20,30,1.01325,1.5,0.299999999999955,0.299999999999955,0,3.20000000000005,0,3.20000000000005,227.331072565736,2424.86477403492,0.539350593535998,"",122.858120808808,1310.48662196084,52.8676912943571,28.5716560020485
"2","A2","01022017",1055,"1013",368,839.5,0.14,100,839.4,NA,NA,NA,NA,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.30000000000007,0,3.30000000000007,75.7770241886073,2500.64179822352,0.539350593535998,"",40.952706936285,1351.43932889712,20.4802768077317,11.0682991719689
"2","A2","06022017",1802,"1701",392,839.4,0.132,93,839.3,"mass.init originally entered as 838.4. Must be mistake due to writing 8/9.","08-02-2017 14:40:07",0.5778,0.5659,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3.40000000000009,0,3.40000000000009,75.7770241886073,2576.41882241213,0.539350593535998,"",40.952706936285,1392.39203583341,14.2975517336995,7.7269258370349
"2","A2","17022017",1712,"1707",398,839.3,0.182,134,839.1,NA,"27-02-2017 12:05:41",0.5771,0.5771,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,20,30,1.01325,1.5,0.199999999999932,0.199999999999932,0,3.60000000000002,0,3.60000000000002,151.554048377128,2727.97287078926,0.539350593535998,"",81.9054138725234,1474.29744970593,13.7776407615571,7.44594671568394
"2","A3","17012017",1520,"1520",187,839.3,0,0,839.3,NA,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,20,30,1.01325,1.5,0,0,0,0,0,0,0,0,0.527161802907985,"",0,0,NA,NA
"2","A3","18012017",1618,"1527",222,839.3,0.866,709,838.5,NA,"17-02-2017 12:15:42",0.5786,0.5691,2017-01-18 15:27:00,2017-01-17 15:20:00,1,20,30,1.01325,1.5,0.799999999999955,0.799999999999955,0,0.799999999999955,0,0.799999999999955,599.247130744299,599.247130744299,0.527161802907985,"",316.553377483671,316.553377483671,599.247130744299,316.553377483671
