"id","exper","date","inject.date.time","xCH4","xCH4.oa","start.time"
"A1",2,"19012017","06-02-2017 15:30:33",0.5017,0.5135,2017-01-18 15:27:00
"A1",1,"18112016","24-11-2016 10:46:00",0.5314,0.524,2017-01-18 15:27:00
"A1",1,"16122016","02-01-2017 09:36:22",0.6082,0.6048,2017-01-18 15:27:00
"A1",2,"01022017","20-02-2017 14:51:03",0.5689,0.5689,2017-01-18 15:27:00
"A1",2,"28012017","09-02-2017 14:30:48",0.5654,0.5765,2017-01-18 15:27:00
"A1",2,"17022017","27-02-2017 12:44:19",0.5813,0.5813,2017-01-18 15:27:00
"A1",1,"21112016","24-11-2016 16:09:54",0.5714,0.5641,2017-01-18 15:27:00
"A1",2,"20012017","02-02-2017 18:22:23",0.5491,0.5491,2017-01-18 15:27:00
"A1",1,"17022017","20-03-2017 14:29:52",0.6329,0.6329,2017-01-18 15:27:00
"A1",2,"24012017","03-02-2017 09:13:31",0.565,0.5753,2017-01-18 15:27:00
"A1",1,"16112016","22-11-2016 19:14:43",0.6681,0.6623,2017-01-18 15:27:00
"A1",1,"29112016","01-12-2016 18:41:28",0.5988,0.5956,2017-01-18 15:27:00
"A1",2,"18012017","17-02-2017 11:40:12",0.547,0.5566,2017-01-18 15:27:00
"A1",1,"17112016","23-11-2016 14:58:17",0.5722,0.5657,2017-01-18 15:27:00
"A1",2,"22012017","10-02-2017 21:06:28",0.5491,0.5605,2017-01-18 15:27:00
"A1",2,"06022017","08-02-2017 16:25:28",0.5721,0.5839,2017-01-18 15:27:00
"A1",1,"24112016","25-11-2016 15:38:14",0.5836,0.5807,2017-01-18 15:27:00
"A1",1,"19112016","23-11-2016 10:48:53",0.5558,0.5492,2017-01-18 15:27:00
"A1",1,"07122016","08-12-2016 10:59:01",0.6042,0.6041,2017-01-18 15:27:00
"A2",2,"19012017","06-02-2017 14:38:54",0.5113,0.5231,2017-01-18 15:27:00
"A2",1,"18112016","22-11-2016 18:00:19",0.5332,0.5266,2017-01-18 15:27:00
"A2",2,"18012017","17-02-2017 13:26:51",0.5596,0.5691,2017-01-18 15:27:00
"A2",2,"06022017","08-02-2017 14:40:07",0.5659,0.5778,2017-01-18 15:27:00
"A2",1,"16122016","02-01-2017 11:24:57",0.6051,0.6017,2017-01-18 15:27:00
"A2",1,"17022017","20-03-2017 16:25:29",0.6288,0.6288,2017-01-18 15:27:00
"A2",2,"28012017","09-02-2017 15:23:24",0.5623,0.5734,2017-01-18 15:27:00
"A2",1,"16112016","22-11-2016 23:54:17",0.6668,0.6609,2017-01-18 15:27:00
"A2",2,"24012017","03-02-2017 12:45:44",0.5569,0.5672,2017-01-18 15:27:00
"A2",2,"20012017","02-02-2017 17:10:07",0.5455,0.5455,2017-01-18 15:27:00
"A2",1,"24112016","25-11-2016 13:14:44",0.5832,0.5803,2017-01-18 15:27:00
"A2",1,"17112016","23-11-2016 17:04:39",0.5744,0.5679,2017-01-18 15:27:00
"A2",1,"29112016","01-12-2016 17:10:59",0.5968,0.5937,2017-01-18 15:27:00
"A2",1,"21112016","24-11-2016 15:34:06",0.5722,0.5649,2017-01-18 15:27:00
"A2",1,"19112016","23-11-2016 13:29:54",0.5554,0.5489,2017-01-18 15:27:00
"A2",2,"17022017","27-02-2017 12:05:41",0.5771,0.5771,2017-01-18 15:27:00
"A2",2,"22012017","10-02-2017 21:24:12",0.5511,0.5625,2017-01-18 15:27:00
"A2",1,"07122016","08-12-2016 14:00:23",0.6028,0.6027,2017-01-18 15:27:00
"A3",2,"24012017","03-02-2017 12:27:46",0.5524,0.5627,2017-01-18 15:27:00
"A3",1,"07122016","08-12-2016 14:35:57",0.6026,0.6024,2017-01-18 15:27:00
"A3",2,"19012017","06-02-2017 14:56:01",0.5201,0.5319,2017-01-18 15:27:00
"A3",1,"19112016","23-11-2016 12:54:38",0.558,0.5515,2017-01-18 15:27:00
"A3",1,"16112016","22-11-2016 22:20:57",0.6642,0.6583,2017-01-18 15:27:00
"A3",1,"24112016","25-11-2016 11:07:53",0.5865,0.5836,2017-01-18 15:27:00
"A3",2,"01022017","20-02-2017 16:21:40",0.5636,0.5636,2017-01-18 15:27:00
"A3",2,"06022017","08-02-2017 13:47:49",0.5651,0.577,2017-01-18 15:27:00
"A3",1,"16122016","02-01-2017 13:16:00",0.6023,0.5989,2017-01-18 15:27:00
"A3",1,"29112016","01-12-2016 15:24:49",0.5977,0.5945,2017-01-18 15:27:00
"A3",2,"20012017","02-02-2017 16:15:39",0.5406,0.5406,2017-01-18 15:27:00
"A3",1,"18112016","22-11-2016 15:51:18",0.5368,0.5303,2017-01-18 15:27:00
"A3",2,"28012017","09-02-2017 13:21:17",0.5598,0.5709,2017-01-18 15:27:00
"A3",2,"17022017","27-02-2017 10:48:49",0.5778,0.5778,2017-01-18 15:27:00
"A3",2,"18012017","17-02-2017 12:15:42",0.5691,0.5786,2017-01-18 15:27:00
"A3",1,"17022017","20-03-2017 15:26:18",0.6292,0.6292,2017-01-18 15:27:00
"A3",1,"17112016","23-11-2016 17:23:09",0.5697,0.5632,2017-01-18 15:27:00
"A3",2,"22012017","10-02-2017 19:55:33",0.5454,0.5569,2017-01-18 15:27:00
"A3",1,"21112016","24-11-2016 14:05:03",0.5751,0.5677,2017-01-18 15:27:00
"B1",2,"22012017","10-02-2017 19:02:36",0.5773,0.5886,2016-11-16 14:26:00
"B1",2,"20012017","02-02-2017 19:16:52",0.5737,0.5737,2016-11-16 14:26:00
"B1",2,"06022017","08-02-2017 16:07:58",0.5817,0.5935,2016-11-16 14:26:00
"B1",1,"16112016","23-11-2016 18:19:01",0.5384,0.5318,2016-11-16 14:26:00
"B1",2,"24012017","03-02-2017 10:23:15",0.5856,0.5958,2016-11-16 14:26:00
"B1",2,"01022017","20-02-2017 12:09:09",0.5908,0.5908,2016-11-16 14:26:00
"B1",2,"17022017","27-02-2017 10:29:58",0.5888,0.5888,2016-11-16 14:26:00
"B1",2,"19012017","06-02-2017 12:17:37",0.4706,0.4824,2016-11-16 14:26:00
"B1",2,"28012017","09-02-2017 14:13:33",0.578,0.589,2016-11-16 14:26:00
"B1",2,"18012017","17-02-2017 14:02:10",0.4762,0.4859,2016-11-16 14:26:00
"B2",2,"19012017","06-02-2017 11:59:59",0.478,0.4898,2016-11-16 14:26:00
"B2",2,"17022017","27-02-2017 11:46:24",0.5891,0.5891,2016-11-16 14:26:00
"B2",1,"16112016","23-11-2016 15:33:29",0.5527,0.5461,2016-11-16 14:26:00
"B2",2,"24012017","03-02-2017 10:41:02",0.5785,0.5888,2016-11-16 14:26:00
"B2",2,"22012017","10-02-2017 15:34:56",0.5723,0.5836,2016-11-16 14:26:00
"B2",2,"06022017","08-02-2017 12:22:10",0.5846,0.5963,2016-11-16 14:26:00
