"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes"
"1","W1",15112016,1440,1440,20,1073.6,0,0,1073.6,NA
"1","W1",16112016,1522,1426,40,1073.6,NA,NA,NA,NA
"1","W1",17112016,2323,2127,58,1073.8,NA,NA,NA,NA
"1","W1",18112016,1702,1628,73,1073.6,0.605,NA,NA,NA
"1","W1",19112016,1842,1842,74,1073.6,NA,NA,NA,NA
"1","W1",21112016,955,915,109,1073.6,NA,NA,NA,NA
"1","W1",24112016,1059,1059,110,1073.6,NA,NA,NA,NA
"1","W1",29112016,1011,916,145,1073.6,NA,NA,NA,NA
"1","W1",7122016,1310,1151,163,1073.6,NA,NA,NA,NA
"1","W1",16122016,1141,1053,181,1073.6,0,0,NA,NA
"2","W2",17012017,1520,1520,203,826.9,0,0,826.9,NA
"2","W1",17012017,1520,1520,204,1073.6,0,0,1073.6,NA
"2","W2",18012017,1527,1527,205,826.9,NA,NA,NA,NA
"2","W1",18012017,1539,1527,209,1073.6,NA,NA,NA,NA
"2","W1",19012017,1103,1103,229,1073.6,NA,NA,NA,NA
"2","W3",19012017,1115,1103,236,405.96,NA,NA,NA,NA
"2","W2",19012017,1119,1103,237,826.9,NA,NA,NA,NA
"2","W3",20012017,1519,1450,274,405.96,NA,NA,NA,"ID was not entered incorrectly"
"2","W1",20012017,1450,1450,275,1073.6,NA,NA,NA,"ID was not entered incorrectly"
"2","W2",20012017,1457,1450,276,826.9,NA,NA,NA,"ID was not entered incorrectly"
"2","W2",22012017,642,617,298,826.9,NA,NA,NA,NA
"2","W3",22012017,640,617,299,405.97,NA,NA,NA,NA
"2","W1",22012017,623,617,300,1073.6,NA,NA,NA,NA
"2","W2",24012017,1051,923,322,826.9,NA,NA,NA,NA
"2","W1",24012017,1051,923,323,1073.6,NA,NA,NA,NA
"2","W3",24012017,1052,923,324,405.96,NA,NA,NA,NA
"2","W1",28012017,NA,1822,346,1073.6,NA,NA,NA,NA
"2","W2",28012017,NA,1822,347,826.9,NA,NA,NA,NA
"2","W3",28012017,NA,1822,348,405.96,NA,NA,NA,NA
"2","W1",1022017,NA,1013,370,1073.5,NA,NA,NA,NA
"2","W2",1022017,NA,1013,371,826.8,NA,NA,NA,NA
"2","W3",1022017,NA,1013,372,405.94,NA,NA,NA,NA
"2","W1",6022017,NA,1701,394,1073.6,NA,NA,NA,NA
"2","W2",6022017,NA,1701,395,826.9,NA,NA,NA,NA
"2","W3",6022017,NA,1701,396,405.95,NA,NA,NA,NA
"2","W1",17022017,NA,1707,418,1073.6,NA,NA,NA,NA
"2","W2",17022017,NA,1707,419,826.9,NA,NA,NA,NA
"2","W3",17022017,NA,1707,420,405.95,NA,NA,NA,NA
