"method","descrip","time.d","mean","se","sd","n"
"man","Cellulose",0,0,0,0,2
"man","Cellulose",1,10.5461629138331,4.17307815986049,5.90162373051766,2
"man","Cellulose",1.8,39.5818545319357,3.81158357063192,5.39039317970613,2
"man","Cellulose",3,183.7946031675,3.60392459304115,5.09671903724873,2
"man","Cellulose",4.6,266.397463655118,3.67466060501849,5.19675486473527,2
"man","Cellulose",6.8,314.472194369785,5.09525523918917,7.20577906301389,2
"man","Cellulose",11.1,340.705927244866,5.78324220665534,8.17873956314049,2
"man","Cellulose",14.8,350.23247045397,5.63717499247272,7.97216932782538,2
"man","Cellulose",20.1,358.258442950369,4.38627366229617,6.20312770149915,2
"man","Cellulose",31.1,367.622409860743,8.93227664319216,12.6321467716708,2
"man","Ethanol",0,0,0,0,3
"man","Ethanol",1,63.5397085802703,5.69224991876951,9.85926606868861,3
"man","Ethanol",1.8,149.827600382371,7.6358555851908,13.225689832809,3
"man","Ethanol",3,515.934347794594,11.1790947387689,19.3627600701737,3
"man","Ethanol",4.6,658.351727565126,7.01466782939804,12.1497610787363,3
"man","Ethanol",6.8,676.669281621919,8.06912144158017,13.9761283092603,3
"man","Ethanol",11.1,697.427482414659,8.03594012758674,13.9186565875618,3
"man","Ethanol",14.8,706.549026770655,7.07648962301007,12.2568395662874,3
"man","Ethanol",20.1,716.490912355889,6.55841461335107,11.3595073274262,3
"man","Ethanol",31.1,735.951817451742,11.9358426978389,20.673485983807,3
"man","FI1",0,0,0,0,3
"man","FI1",1,116.539654818001,1.44393775980098,2.50097356294248,3
"man","FI1",1.8,227.667297324367,3.52106148709803,6.09865739222782,3
"man","FI1",3,286.104774039438,1.91541719740687,3.31759990359988,3
"man","FI1",4.6,318.957126579453,1.89952462396105,3.2900731589287,3
"man","FI1",6.8,339.819384594924,2.42733654044197,4.20427021511396,3
"man","FI1",11.1,357.625210602146,3.26078303863196,5.64784189536938,3
"man","FI1",14.8,365.761578726444,3.09303415790957,5.3572923110454,3
"man","FI1",20.1,373.621993297967,3.23736578825587,5.60728202794443,3
"man","FI1",31.1,381.059056736378,6.15676056247319,10.6638221042399,3
"man","FI2",0,0,0,0,3
"man","FI2",1,122.805607269099,4.60069750014222,7.96864182050144,3
"man","FI2",1.8,239.756780917078,10.4383634720293,18.0797758814259,3
"man","FI2",3,301.822618629471,3.46303785664798,5.99815751624873,3
"man","FI2",4.6,330.534717969286,2.8634747927721,4.95968382727404,3
"man","FI2",6.8,345.40417729529,2.78953578886173,4.83161771584024,3
"man","FI2",11.1,358.798606106951,2.96300665882849,5.13207807625584,3
"man","FI2",14.8,364.45652727336,2.40221941502232,4.16076607774704,3
"man","FI2",20.1,370.830234100014,1.30780322564371,2.26518163311737,3
"man","FI2",31.1,377.556994828728,4.38241365046823,7.59056310239437,3
"man","FI3",0,0,0,0,3
"man","FI3",1,129.056730231626,4.97846073458746,8.62294693579216,3
"man","FI3",1.8,238.121514557008,6.43808104439839,11.1510834721441,3
"man","FI3",3,334.564194033258,4.62031364168438,8.00261797430093,3
"man","FI3",4.6,400.049093485896,3.68163460887349,6.37677819747286,3
"man","FI3",6.8,437.436835050034,4.44130756859022,7.69257036083846,3
"man","FI3",11.1,458.014683401741,13.8582635977283,24.0032166559477,3
"man","FI3",14.8,470.994475377648,13.7197476992072,23.763300082053,3
"man","FI3",20.1,486.599364955379,13.3533093242113,23.1286101987173,3
"man","FI3",31.1,498.034102588139,20.3083412311149,35.175078829737,3
"vol","Cellulose",0,0,0,0,2
"vol","Cellulose",1,8.69759962032007,3.74857681257216,5.30128816793685,2
"vol","Cellulose",1.8,35.8223641860717,3.57804736926761,5.06012311643163,2
"vol","Cellulose",3,183.678906743184,4.85198997790987,6.86175003125848,2
"vol","Cellulose",4.6,268.240527844436,5.19562214891342,7.34771930795941,2
"vol","Cellulose",6.8,317.458318499497,5.12999159721528,7.25490369164187,2
"vol","Cellulose",11.1,343.222321379257,4.51617629591826,6.38683776775549,2
"vol","Cellulose",14.8,350.334102850696,3.8637562818451,5.46417653548958,2
"vol","Cellulose",20.1,358.766554995073,4.37966157597407,6.19377679934686,2
"vol","Cellulose",31.1,367.328673955419,10.9584462045382,15.4975832449939,2
"vol","Ethanol",0,0,0,0,3
"vol","Ethanol",1,60.1530870365316,4.82498255328709,8.35711492792664,3
"vol","Ethanol",1.8,148.026536528187,7.0853547744803,12.2721944590506,3
"vol","Ethanol",3,520.012990370803,11.2712228375923,19.5223306181405,3
"vol","Ethanol",4.6,665.694529726622,6.49295177415486,11.2461223639307,3
"vol","Ethanol",6.8,684.744442022592,7.47627071850026,12.9492807355819,3
"vol","Ethanol",11.1,701.885923023524,7.09333339603655,12.2860138369604,3
"vol","Ethanol",14.8,708.140589211859,7.63054545757623,13.2164924219859,3
"vol","Ethanol",20.1,717.350308676947,8.96889112102785,15.5345751091736,3
"vol","Ethanol",31.1,733.794547569689,16.4550780572341,28.5010312376412,3
"vol","FI1",0,0,0,0,3
"vol","FI1",1,118.25637811483,1.69098679450107,2.92887504300388,3
"vol","FI1",1.8,233.571684018908,4.71012810529666,8.15818118853195,3
"vol","FI1",3,295.440531676495,3.73194963001646,6.46392637047638,3
"vol","FI1",4.6,328.637022848293,3.72817358305616,6.45738606528937,3
"vol","FI1",6.8,349.732140972831,3.60062046127245,6.23645757769597,3
"vol","FI1",11.1,367.405088749491,2.71820106354705,4.70806234725126,3
"vol","FI1",14.8,374.619016552024,2.70148430515404,4.6791080723767,3
"vol","FI1",20.1,382.215891461713,2.39310904021082,4.14498644569753,3
"vol","FI1",31.1,389.002653017602,5.57565093594932,9.65731070633318,3
"vol","FI2",0,0,0,0,3
"vol","FI2",1,125.650413710495,4.88161358412769,8.45520275062757,3
"vol","FI2",1.8,248.307096132057,11.0315931410393,19.1072798087085,3
"vol","FI2",3,307.152938176309,2.7730279928761,4.80302537447214,3
"vol","FI2",4.6,337.000866198938,2.83542494354435,4.91110006326693,3
"vol","FI2",6.8,351.788221188119,3.39170596324922,5.87460705268198,3
"vol","FI2",11.1,364.547643208824,3.58044948536327,6.20152042258301,3
"vol","FI2",14.8,369.25706337702,3.73979080669479,6.47750768687438,3
"vol","FI2",20.1,375.831270133405,4.41516306263678,7.64728674818832,3
"vol","FI2",31.1,381.921025352519,7.33102137317418,12.697701489711,3
"vol","FI3",0,0,0,0,3
"vol","FI3",1,131.596245710145,5.70027409475733,9.87316434918838,3
"vol","FI3",1.8,245.347006104107,8.24308195028529,14.2774367488481,3
"vol","FI3",3,347.095218698804,6.05761421919535,10.492095600298,3
"vol","FI3",4.6,413.988150507854,5.1099714975133,8.85073025892186,3
"vol","FI3",6.8,454.186171636553,5.22904917924972,9.05697885373685,3
"vol","FI3",11.1,490.099572843711,5.57731197911705,9.66018771749326,3
"vol","FI3",14.8,504.221020336198,6.17705982713123,10.6989814619839,3
"vol","FI3",20.1,522.465275660792,6.32366553283458,10.9529099929416,3
"vol","FI3",31.1,537.242481309723,15.1291824775097,26.2045127280276,3
"grav","Cellulose",0,0,0,0,2
"grav","Cellulose",1,14.944017846849,2.96402488740184,4.19176419497507,2
"grav","Cellulose",1.8,34.6189368180351,14.0625066311453,19.8873875987273,2
"grav","Cellulose",3,176.870935962412,9.48741329537003,13.4172285541511,2
"grav","Cellulose",4.6,279.826528836321,4.84577993352571,6.85296770226745,2
"grav","Cellulose",6.8,320.773376917552,7.609748172563,10.7618090718825,2
"grav","Cellulose",11.1,325.851420698623,7.51152933943059,10.6229066659862,2
"grav","Cellulose",14.8,342.662134944409,13.8791244282636,19.6280460003141,2
"grav","Cellulose",20.1,343.518470109758,3.91687642477256,5.5392997620528,2
"grav","Cellulose",31.1,361.659120894683,9.43188080056155,13.3386937468406,2
"grav","Ethanol",0,0,0,0,3
"grav","Ethanol",1,28.9861336276683,9.78081508501435,16.940868666681,3
"grav","Ethanol",1.8,110.031914994673,12.2377849738249,21.1964653467676,3
"grav","Ethanol",3,504.378967532955,8.52867744082975,14.7721026488836,3
"grav","Ethanol",4.6,660.856722778648,21.1427944737739,36.6203942425629,3
"grav","Ethanol",6.8,701.328994030501,21.2701402113639,36.840963530196,3
"grav","Ethanol",11.1,697.009165866161,20.7639874863261,35.9642812940412,3
"grav","Ethanol",14.8,715.90824599919,20.5781629602921,35.6424237736578,3
"grav","Ethanol",20.1,731.354378579569,16.4807893126755,28.5455644383921,3
"grav","Ethanol",31.1,733.633971296613,17.8273876532314,30.8779411816229,3
"grav","FI1",0,0,0,0,3
"grav","FI1",1,106.743282795434,1.55823034626877,2.69893412963315,3
"grav","FI1",1.8,223.385974885651,6.02970527448076,10.4437558900667,3
"grav","FI1",3,278.693996855843,3.88617986093,6.73106096648172,3
"grav","FI1",4.6,319.900318214123,4.75899917302555,8.24282836085852,3
"grav","FI1",6.8,342.893695753876,3.09364206948139,5.35834524477429,3
"grav","FI1",11.1,354.268391117891,4.26029300441445,7.37904393877609,3
"grav","FI1",14.8,357.679168323644,4.52771135277476,7.84222610501229,3
"grav","FI1",20.1,366.615823744113,3.00095706509477,5.19781010807693,3
"grav","FI1",31.1,378.742805028559,4.93690736003114,8.55097437983467,3
"grav","FI2",0,0,0,0,3
"grav","FI2",1,119.426965650425,3.34444609565355,5.79275056084731,3
"grav","FI2",1.8,241.702286597552,10.7628534478818,18.6418090061492,3
"grav","FI2",3,303.399015253161,3.85854616945996,6.68319800885491,3
"grav","FI2",4.6,336.21414345053,3.87570472863072,6.71291750512335,3
