"id","exper","cvCH4.vol","cvCH4.grav","cvCH4.man","cvCH4.gd"
"C1",1,424.971794419466,240.12827151357,388.966835792985,439.335714174999
"C2",1,570.222499472051,386.0067530277,517.196075115213,592.320983343682
"C3",1,563.291795854226,394.93432061327,498.944488801409,566.524012785487
"L1",1,356.283687489032,344.475872857716,353.244183711099,323.793686539043
"L2",1,385.22974603893,342.434503565143,347.245340595477,478.59282613465
"L3",1,345.781825587037,356.677439781166,306.698428224792,452.169858819967
"E1",1,583.854182933017,643.976883293715,535.857161004201,529.251452072416
"E2",1,698.864864176717,530.430535971679,640.30574022355,617.799246613837
"E3",1,766.867497072942,646.707302063343,704.562378681918,828.539891490722
"A1",2,392.178536424821,266.75851069258,385.130015852804,430.723605481519
"A2",2,383.839429440243,267.871978846949,368.823281168626,392.789124175573
"A3",2,392.266585361442,263.402779534506,371.951943919681,367.706401478638
"B1",2,393.834051768452,258.976292086075,382.708341861081,472.853278206244
"B2",2,392.59352232132,260.855919697383,377.579373950104,387.015608609774
"B3",2,351.01648064135,256.829369836534,348.76175184282,322.00404839783
"C1",2,525.712992709814,377.240524660136,467.960913811091,551.842038368847
"C2",2,552.69128533799,385.903104156845,524.284645755462,597.651178265784
"C3",2,454.276309522174,374.66762183972,415.524015754679,515.64873422477
"C4",2,513.686468957573,407.908875419686,517.883632436216,509.060892493429
"C5",2,263.760038073368,386.043528680443,246.712753492776,277.172474218565
"C6",2,499.624176404091,395.756787843117,464.220164302507,538.353964929309
"L1",2,375.087256187812,341.3601258242,377.931869666724,473.431664237423
"L2",2,230.54886443792,344.871674602985,222.363830513138,298.550876131181
"L3",2,328.073945605063,338.153075046021,315.397048283692,369.577685715895
"E1",2,723.955012835281,631.764979996596,721.584508853303,695.373500007762
"E2",2,747.351347322683,619.259885093701,733.060884641015,637.433785890717
"E3",2,727.358580303033,635.862487794941,710.160907019537,687.630559256608
