"id","exper","vol.hs","descrip","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","conc.sub.vs","conc.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","date","time","order","mass.init","pres","vol","mass.final","notes","xCH4.oa","date.time","ctime","xCH4","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"15112016","1440",14,1058.7,NA,NA,1058.7,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"16112016","1426",21,1058.7,1.338,865,1057.7,"",0.6623,2016-11-16 14:26:00,1,0.6681,27,1.01,1,1,797.025371463056,533.265017283863,797.025371463056,533.265017283863,797.025371463056,533.265017283863
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"17112016","2226",41,1057.8,1.8861,NA,1056.2,"Pressure not recorded. Estimated from mass loss and mass loss/pres ratio from A2.",0.5657,2016-11-17 22:26:00,2.3,0.5722,27,1.01,1.5,2.5,1183.39994547597,678.407947800277,1980.42531693903,1211.67296508414,910.307650366131,521.852267538675
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"18112016","1628",60,1056.1,0.746,460,1055.5,"",0.524,2016-11-18 16:28:00,3.1,0.5314,27,1.01,0.700000000000045,3.20000000000005,531.015958319411,282.760100844988,2511.44127525844,1494.43306592913,663.769947899264,353.450126056235
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"19112016","1902",84,1055.5,0.603,372,1055.1,"",0.5492,2016-11-19 19:02:00,4.2,0.5558,27,1.01,0.400000000000091,3.60000000000014,310.580969838156,172.956167676101,2822.02224509659,1667.38923360523,282.346336216505,157.232879705546
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"21112016","0925",96,1055.1,0.508,310,1054.7,"",0.5641,2016-11-21 09:25:00,5.8,0.5714,27,1.01,0.399999999999864,4,315.326085753294,180.514953428685,3137.34833084989,1847.90418703391,197.078803595809,112.821845892928
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"24112016","1117",117,1054.7,0.459,269,1054.3,"",0.5807,2016-11-24 11:17:00,8.85,0.5836,27,1.01,0.400000000000091,4.40000000000009,319.13879805475,186.588456360287,3456.48712890464,2034.4926433942,104.635671493361,61.1765430689465
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"29112016","0944",134,1054.3,0.438,252,1054,"",0.5956,2016-11-29 09:44:00,13.8,0.5988,27,1.01,0.299999999999955,4.70000000000005,243.014579907577,145.772347222549,3699.50170881221,2180.26499061675,49.0938545267832,29.4489590348584
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"07122016","1244",157,1054.1,0.441,245,1053.8,"Last volume was taken after disconnecting other syringes",0.6041,2016-12-07 12:44:00,21.9,0.6042,27,1.01,0.200000000000045,4.90000000000009,162.894662836645,98.591244555296,3862.39637164886,2278.85623517205,20.1104522020549,12.1717585870736
"A1",1,606.7,"A","A",540.47,510.74,5.54,1058.7,1058.7,1058.7,0,2,830.1,18.3,4.599,9.3,2,1120,"16122016","1132",175,1053.7,0.286,172,1053.5,"",0.6048,2016-12-16 11:32:00,30.85,0.6082,27,1.01,0.299999999999955,5.20000000000005,245.334610510609,149.468066058709,4107.73098215947,2428.32430123075,27.4116883252077,16.700342576392
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"15112016","1440",15,1036.4,NA,NA,1036.4,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"16112016","1430",22,1036.3,1.236,858,1035.4,"",0.6609,2016-11-16 14:30:00,1,0.6668,27,1.01,1,1,794.1906744584,530.337476798121,794.1906744584,530.337476798121,794.1906744584,530.337476798121
"A2",1,627.3,"A","A",538.39,490.35,5.39,1036.4,1036.4,1036.4,0,2.3,830.1,18.3,4.474,9,2,1120,"17112016","2230",42,1035.5,2.004,NA,1033.8,"Slight leak, but P probably OK",0.5679,2016-11-17 22:30:00,2.3,0.5744,27,1.01,1.60000000000014,2.60000000000014,1265.02081612128,727.980011340779,2059.21149057968,1258.3174881389,973.092935477904,559.984624108291
