"","exper","id","date","time","sheet.order","mass.init","pres","vol","mass.final","notes","change","mass.change"
"1",2,"W1",2017-01-17,1520,204,1073.6,NA,NA,1073.6,"",NA,NA
"2",2,"W1",2017-01-18,1539,209,1073.6,NA,NA,NA,"",0,0
"3",2,"W1",2017-01-19,1103,229,1073.6,NA,NA,NA,"",0,0
"4",2,"W1",2017-01-20,1450,275,1073.6,NA,NA,NA,"ID was not entered incorrectly",0,0
"5",2,"W1",2017-01-22,623,300,1073.6,NA,NA,NA,"",0,0
"6",2,"W1",2017-01-24,1051,323,1073.6,NA,NA,NA,"",0,0
"7",2,"W1",2017-01-28,NA,346,1073.6,NA,NA,NA,"",0,0
"8",2,"W1",2017-02-01,NA,370,1073.5,NA,NA,NA,"",-99.9999999999091,-0.0999999999999091
"9",2,"W1",2017-02-06,NA,394,1073.6,NA,NA,NA,"",99.9999999999091,0.0999999999999091
"10",2,"W1",2017-02-17,NA,418,1073.6,NA,NA,NA,"",0,0
"11",2,"W2",2017-01-17,1520,203,826.9,NA,NA,826.9,"",NA,NA
"12",2,"W2",2017-01-18,1527,205,826.9,NA,NA,NA,"",0,0
"13",2,"W2",2017-01-19,1119,237,826.9,NA,NA,NA,"",0,0
"14",2,"W2",2017-01-20,1457,276,826.9,NA,NA,NA,"ID was not entered incorrectly",0,0
"15",2,"W2",2017-01-22,642,298,826.9,NA,NA,NA,"",0,0
"16",2,"W2",2017-01-24,1051,322,826.9,NA,NA,NA,"",0,0
"17",2,"W2",2017-01-28,NA,347,826.9,NA,NA,NA,"",0,0
"18",2,"W2",2017-02-01,NA,371,826.8,NA,NA,NA,"",-100.000000000023,-0.100000000000023
"19",2,"W2",2017-02-06,NA,395,826.9,NA,NA,NA,"",100.000000000023,0.100000000000023
"20",2,"W2",2017-02-17,NA,419,826.9,NA,NA,NA,"",0,0
"21",2,"W3",2017-01-19,1115,236,405.96,NA,NA,NA,"",NA,NA
"22",2,"W3",2017-01-20,1519,274,405.96,NA,NA,NA,"ID was not entered incorrectly",0,0
"23",2,"W3",2017-01-22,640,299,405.97,NA,NA,NA,"",10.0000000000477,0.0100000000000477
"24",2,"W3",2017-01-24,1052,324,405.96,NA,NA,NA,"",-10.0000000000477,-0.0100000000000477
"25",2,"W3",2017-01-28,NA,348,405.96,NA,NA,NA,"",0,0
"26",2,"W3",2017-02-01,NA,372,405.94,NA,NA,NA,"",-19.9999999999818,-0.0199999999999818
"27",2,"W3",2017-02-06,NA,396,405.95,NA,NA,NA,"",9.99999999999091,0.00999999999999091
"28",2,"W3",2017-02-17,NA,420,405.95,NA,NA,NA,"",0,0
