"method","descrip","elapsed.time","mean","se","sd","n","rsd","leak.l"
"gd01","Cellulose",30,387.10374662154,2.22076548646688,3.84647865425605,3,0.993655754517053,FALSE
"gd01","Substrate C",30,441.978760186272,54.1463178090901,93.7841734881156,3,21.2191584610514,TRUE
"gd01","Substrate D",30,320.675370575601,6.77298670027587,11.7311570838661,3,3.6582656980513,FALSE
"gd02","Cellulose",30,390.616222001836,6.18783232311274,10.7176399723482,3,2.743777490198,FALSE
"gd02","Substrate C",30,492.139215152528,4.24528037046096,7.35304129401321,3,1.49409782183976,TRUE
"gd02","Substrate D",30,309.191171932519,2.88957428255247,5.00488946962527,3,1.61870387124688,FALSE
"gd03","Cellulose",30,365.090017333407,9.38342693252288,16.2525721962398,3,4.45166162442553,FALSE
"gd03","Substrate C",30,462.617733855386,5.48982189435757,9.50865044553133,3,2.05540119836905,TRUE
"gd03","Substrate D",30,302.321408015817,3.82176798504354,6.61949632483554,3,2.18955593263486,FALSE
"gd04","Cellulose",30,422.392700336304,10.8667143258189,18.821701323655,3,4.45597220517054,FALSE
"gd04","Substrate C",30,570.439182742771,13.0264631065968,22.5624959435471,3,3.95528509017608,TRUE
"gd04","Substrate D",30,330.476573203351,4.6574349345025,8.06691393950456,3,2.44099418645956,FALSE
"gd05","Cellulose",30,421.680465726516,5.15961951156703,8.93672314175781,3,2.11931162767065,FALSE
"gd05","Substrate C",30,614.447727184781,50.3173894445805,87.1522750222433,3,14.1838387817869,TRUE
"gd05","Substrate D",30,331.288436274829,5.17367604052537,8.96106976409173,3,2.70491474584939,FALSE
"gd06","Cellulose",30,365.090017333407,9.38342693252288,16.2525721962398,3,4.45166162442553,FALSE
"gd06","Substrate C",30,462.617733855386,5.48982189435757,9.50865044553133,3,2.05540119836905,TRUE
"gd06","Substrate D",30,302.321408015817,3.82176798504354,6.61949632483554,3,2.18955593263486,FALSE
"gd07","Cellulose",30,390.106727183073,3.04668648034432,5.27701577868955,3,1.35271078681325,FALSE
"gd07","Substrate C",30,444.507103805047,52.4427704664156,90.8335429375044,3,20.4346662089212,TRUE
"gd07","Substrate D",30,317.772959187698,4.61741298814154,7.99759389498958,3,2.51676351425033,FALSE
"gd08","Cellulose",30,389.557812640747,6.17106584162337,10.6885995745445,3,2.74377749019799,FALSE
"gd08","Substrate C",30,490.805720220835,4.2337774060897,7.33311757528453,3,1.49409782183978,TRUE
"gd08","Substrate D",30,308.353390979484,2.88174472428543,4.99132827690593,3,1.61870387124688,FALSE
"gd09","Cellulose",30,371.948284807456,7.86628952689373,13.6248131276269,3,3.66309341490308,FALSE
"gd09","Substrate C",30,472.051317743194,4.80629145374965,8.32474099387847,3,1.76352457475975,TRUE
"gd09","Substrate D",30,303.664910785101,2.98193338711268,5.16486013126512,3,1.70084193063723,FALSE
"gd10","Cellulose",30,407.565902710942,4.17720168118981,7.23512554528289,3,1.7752038375041,FALSE
"gd10","Substrate C",30,517.191105621762,17.9175173870257,31.0340504598273,3,6.00049964558429,TRUE
"gd10","Substrate D",30,323.449793476748,3.90517130119494,6.76395510592951,3,2.09119166014114,FALSE
"gd11","Cellulose",30,411.138560635735,4.06986078804945,7.04920566463396,3,1.71455716869124,FALSE
"gd11","Substrate C",30,559.110435676621,24.4664978158039,42.3772173002454,3,7.57940016786872,TRUE
"gd11","Substrate D",30,323.449793476748,3.90517130119494,6.76395510592949,3,2.09119166014114,FALSE
"gd12","Cellulose",30,386.634200180066,33.0738839375948,57.2856473835504,3,14.8164977016702,FALSE
"gd12","Substrate C",30,549.030455104527,17.5090825123059,30.3266205052296,3,5.52366817237048,TRUE
"gd12","Substrate D",30,324.957460829035,2.64987937289805,4.58972570778817,3,1.41240816446522,FALSE
