"method","elapsed.time","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes.setup","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se","leak.l"
"gd01",31.75764,"L1","IIS-BMP2","Cellulose","Cellulose","CEL",321.75,142.37,1.6,467.77,467.75,467.76,14.1421356237181,2.03999999999996,989.19,22.3,1.582704,3.174851,2.00596637147565,520,376.03,NA,385.047295282388,1.53403266650954,0.0218035619385637,4,2.84264636791267,523.039131235897,137.991835953509,0.263826982939969,1.96130995637422,0,FALSE
"gd01",31.75764,"L2","IIS-BMP2","Cellulose","Cellulose","CEL",322.04,142.8,1.62,468.51,468.5,468.505,7.07106781185904,2.04499999999996,989.19,22.3,1.6024878,3.18444,1.98718517545032,520,375.58,NA,389.485786420088,1.53403266650954,0.0218035619385637,4,2.84264636791267,526.185650704585,136.699864284497,0.259793979751158,1.9429468635124,0,FALSE
"gd01",31.75764,"L3","IIS-BMP2","Cellulose","Cellulose","CEL",321.59,145.19,1.64,470.55,470.55,470.55,0,2.13000000000005,989.19,22.3,1.6222716,3.237737,1.99580452496364,520,373.17,NA,385.772583699209,1.53403266650954,0.0218035619385637,4,2.84264636791267,523.065379092114,137.292795392905,0.262477313316366,1.95137433082109,0,FALSE
"gd01",31.75764,"C1","IIS-BMP2","FIC","Substrate C","SC",322.03,142.25,2.12,468.51,468.52,468.515,7.07106781185904,2.11500000000001,802.16,22.3,1.7005792,3.172175,1.86534975848229,520,375.63,NA,495.321464773337,1.53403266650954,0.0218035619385637,4,2.84264636791267,623.640185131072,128.318720357736,0.20575762020654,1.8238237218006,0,FALSE
"gd01",31.75764,"C2","IIS-BMP2","FIC","Substrate C","SC",321.69,146.13,2.14,471.9,471.9,471.9,0,1.94,802.16,22.3,1.7166224,3.258699,1.89832021299501,520,371.73,NA,495.594262381574,1.53403266650954,0.0218035619385637,4,2.84264636791267,626.181043468107,130.586781086533,0.208544769038803,1.8560601947652,0,FALSE
"gd01",31.75764,"C3","IIS-BMP2","FIC","Substrate C","SC",321.78,142.2,2.18,468.3,468.3,468.3,0,2.14000000000004,802.16,22.3,1.7487088,3.17106,1.81337224356622,520,375.62,NA,482.745950960611,1.53403266650954,0.0218035619385637,4,2.84264636791267,607.489101551297,124.743150590685,0.205342203295728,1.77300331974297,0,FALSE
"gd01",31.75764,"D1","IIS-BMP2","LBD","Substrate D","SD",322.24,143.09,3.79,471.15,471.15,471.15,0,2.02999999999992,861.15,22.3,3.2637585,3.190907,0.977678648711294,520,373.12,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",306.888477040206,1.53403266650954,0.0218035619385637,4,2.84264636791267,374.143678137607,67.2552010974004,0.17975768408591,0.955913765613809,0,FALSE
"gd01",31.75764,"D2","IIS-BMP2","LBD","Substrate D","SD",323.34,142.92,3.78,472.1,472.1,472.1,0,2.06000000000006,861.15,22.3,3.255147,3.187116,0.979100483019661,520,373.3,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",332.603376813108,1.53403266650954,0.0218035619385637,4,2.84264636791267,399.956386891468,67.35301007836,0.16840088641124,0.957303947336179,0,FALSE
"gd01",31.75764,"D3","IIS-BMP2","LBD","Substrate D","SD",321.89,144.13,3.78,472.51,472.51,472.51,0,2.71000000000004,861.15,22.3,3.255147,3.214099,0.987389816803972,520,372.09,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",324.694931823298,1.53403266650954,0.0218035619385637,4,2.84264636791267,392.61817099622,67.9232391729221,0.17300075287034,0.965408745658854,0,FALSE
"gd02",31.75764,"L1","IIS-BMP2","Cellulose","Cellulose","CEL",321.75,142.37,1.6,467.77,467.75,467.76,14.1421356237181,2.03999999999996,989.19,22.3,1.582704,3.174851,2.00596637147565,520,376.03,NA,380.743750594629,1.32103324956232,0.0123074487731503,4,1.86330643490282,499.575511770559,118.831761175929,0.237865464531627,1.10709992634972,0,FALSE
