"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C1","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,468.515,0,468.515,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,0,0,0,0,0.6,375.63,0,0,0,0,0,0,NA,NA,"grav"
"C1","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,468.51,210.5,468.25,NA,2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.264999999999986,0.259999999999991,0.00499999999999545,0.264999999999986,0.259999999999991,0.00499999999999545,0.6,375.63,0.264999999999986,0.264999999999986,202.090539858709,121.466349913078,202.090539858709,121.466349913078,278.478830044536,167.379467822806,"grav"
"C1","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,468.25,332,467.87,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,0.379999999999995,0.379999999999995,0,0.644999999999982,0.639999999999986,0.00499999999999545,0.6,375.63,0.379999999999995,0.644999999999982,306.957436024901,184.496510122094,509.04797588361,305.962860035172,349.421903459176,210.019742747681,"grav"
"C1","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,467.88,469,467.39,NA,2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,0.480000000000018,0.490000000000009,-0.00999999999999091,1.125,1.13,-0.00499999999999545,0.6,375.63,0.480000000000018,1.125,387.263076622866,232.764148219781,896.311052506475,538.727008254953,282.073257631222,169.539895516684,"grav"
"C1","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,467.38,162,467.2,NA,2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,0.189999999999998,0.180000000000007,0.00999999999999091,1.315,1.31,0.00499999999999545,0.6,375.63,0.189999999999998,1.315,153.287365077924,92.133242539836,1049.5984175844,630.860250794789,206.679593363493,124.224596682925,"grav"
"C1","03.10.2018",5.68888888888889,"IIS-BMP2","08.07",20,1002.27,467.2,243,466.96,NA,2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,0.240000000000009,0.240000000000009,0,1.55500000000001,1.55000000000001,0.00499999999999545,0.6,375.63,0.240000000000009,1.55500000000001,193.688981839408,116.416600494322,1243.28739942381,747.276851289111,98.3123489068547,59.0905550623279,"grav"
"C1","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,466.95,141,466.8,NA,2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,0.159999999999968,0.149999999999977,0.00999999999999091,1.71499999999997,1.69999999999999,0.0149999999999864,0.6,375.63,0.159999999999968,1.71499999999997,129.127488957349,77.6119692097233,1372.41488838116,824.888820498835,60.7261868382047,36.499423795559,"grav"
"C1","08.10.2018",10.8388888888889,"IIS-BMP2","11.43",20.4,1007.72,466.78,122,466.67,NA,2022-10-09 11:43:00,10.8388888888439,2018-10-08 11:43:00,2018-09-27 15:35:00,0.129999999999995,0.109999999999957,0.0200000000000387,1.84499999999997,1.80999999999995,0.035000000000025,0.6,375.63,0.129999999999995,1.84499999999997,104.882353276088,63.0394506919879,1477.29724165724,887.928271190823,34.6877787592022,20.8490604034136,"grav"
"C1","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,466.67,69,466.58,NA,2022-10-12 12:14:00,13.8604166666482,2018-10-11 12:13:00,2018-09-27 15:35:00,0.0900000000000318,0.0900000000000318,0,1.935,1.89999999999998,0.035000000000025,0.6,375.63,0.0900000000000318,1.935,72.6052980784864,43.6393536684626,1549.90253973573,931.567624859285,24.0348572949472,14.44613086956,"grav"
"C1","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,466.56,60,466.5,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,0.0799999999999841,0.0600000000000023,0.0199999999999818,2.01499999999999,1.95999999999998,0.0550000000000068,0.6,375.63,0.0799999999999841,2.01499999999999,64.5605436288452,38.8040607367495,1614.46308336458,970.371685596035,14.7356447654996,8.85684695845923,"grav"
"C1","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,466.49,53,466.44,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,0.0600000000000023,0.0500000000000114,0.00999999999999091,2.07499999999999,2.00999999999999,0.0649999999999977,0.6,375.63,0.0600000000000023,2.07499999999999,48.4098119918058,29.0966769980133,1662.87289535638,999.468362594048,13.599322916153,8.17386166155661,"grav"
"C1","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,466.4,34,466.37,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,0.0699999999999932,0.0299999999999727,0.0400000000000205,2.14499999999998,2.03999999999996,0.105000000000018,0.6,375.63,0.0699999999999932,2.14499999999998,56.4539142184045,33.9315779116124,1719.32680957479,1033.39994050566,9.19611272336001,5.52731585890519,"grav"
"C1","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,466.34,27,466.32,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,0.0500000000000114,0.0199999999999818,0.0300000000000296,2.19499999999999,2.05999999999995,0.135000000000048,0.6,375.63,0.0500000000000114,2.19499999999999,40.3570448107561,24.2565680207906,1759.68385438554,1057.65650852645,10.5700517510893,6.35312076208411,"grav"
"C1","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,466.28,76,466.2,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,0.120000000000005,0.0799999999999841,0.0400000000000205,2.315,2.13999999999993,0.175000000000068,0.6,375.63,0.120000000000005,2.315,96.6916132753693,58.1164132669314,1856.37546766091,1115.77292179338,5.31820492404919,3.19650262038812,"grav"
"C1","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,466.17,111,466.06,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,0.139999999999986,0.110000000000014,0.0299999999999727,2.45499999999998,2.24999999999994,0.205000000000041,0.6,375.63,0.139999999999986,2.45499999999998,112.839312559925,67.8219744127439,1969.21478022084,1183.59489620613,3.65216808087684,2.19513256960624,"grav"
"C1","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,466.01,111,465.88,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,0.180000000000007,0.129999999999995,0.0500000000000114,2.63499999999999,2.37999999999994,0.255000000000052,0.6,375.63,0.180000000000007,2.63499999999999,144.967074254225,87.1323387010094,2114.18185447506,1270.72723490714,2.95465927257664,1.77589548391346,"grav"
"C2","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,471.9,0,471.9,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,0,0,0,0,0.6,371.73,0,0,0,0,0,0,NA,NA,"grav"
"C2","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,471.89,216,471.66,NA,2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.239999999999952,0.229999999999961,0.00999999999999091,0.239999999999952,0.229999999999961,0.00999999999999091,0.6,371.73,0.239999999999952,0.239999999999952,182.039623749508,109.414763560244,182.039623749508,109.414763560244,250.848859520853,150.772497154786,"grav"
