"","exper","id","date","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","row.in.file","date.time","time.d","xCH4.gd","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"1",NA,"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA
"2","IIS-BMP2","C1",2018-09-28,"09.00",20.3,1011.22,"468.51",210.5,468.25,NA,17,2018-09-28 09:00:00,0.726,0.592916713700094,190.924629738396,113.403861909033,190.924629738396,113.403861909033,262.981583661702,156.203666541367
"3","IIS-BMP2","C1",2018-09-29,"06.05",19,1000,"468.25",332,467.87,"Pressure not measured.",42,2018-09-29 06:05:00,1.6,0.592916713700094,299.59638912872,177.951831504144,490.521018867116,291.355693413177,342.78763058206,203.606214535634
"4","IIS-BMP2","C1",2018-09-30,"15.02",20.3,1002.34,"467.88",469,467.39,NA,45,2018-09-30 15:02:00,2.98,0.592916713700094,421.560004957804,250.394790101781,912.08102382492,541.750483514958,305.478264462177,181.445500073754
"5","IIS-BMP2","C1",2018-10-01,"08.50",20.3,1000.62,"467.38",162,467.2,NA,70,2018-10-01 08:50:00,3.72,0.592916713700094,145.357531845846,86.3382869537081,1057.43855567077,628.088770468666,196.429097088981,116.673360748254
"6","IIS-BMP2","C1",2018-10-03,"08.07",20,1002.27,"467.2",243,466.96,NA,88,2018-10-03 08:07:00,5.69,0.592916713700094,218.726248939665,129.917242026979,1276.16480461043,758.006012495644,111.028552761251,65.947838592375
"7","IIS-BMP2","C1",2018-10-05,"11.09",20.1,1009.23,"466.95",141,466.8,NA,102,2018-10-05 11:09:00,7.82,0.592916713700094,127.755123883753,75.8829515444696,1403.91992849418,833.888964040114,59.9789314008232,35.6257988471689
"8","IIS-BMP2","C1",2018-10-08,"11.43",20.4,1007.72,"466.78",122,466.67,NA,124,2018-10-08 11:43:00,10.8,0.592916713700094,110.20828906082,65.4606250173626,1514.128217555,899.349589057477,36.9826473358455,21.9666526903901
"9","IIS-BMP2","C1",2018-10-11,"12.14",20.5,1009.19,"466.67",69,466.58,NA,128,2018-10-11 12:14:00,13.9,0.592916713700094,62.3933702961173,37.0599076651087,1576.52158785112,936.409496722585,20.1268936439088,11.9548089242286
"10","IIS-BMP2","C1",2018-10-15,"21.22",20.1,1006.09,"466.56",60,466.5,NA,152,2018-10-15 21:22:00,18.2,0.592916713700094,54.1907090413132,32.1877575108779,1630.71229689244,968.597254233463,12.602490474724,7.48552500252976
"11","IIS-BMP2","C1",2018-10-19,"10.48",20.5,1017.29,"466.49",53,466.44,NA,163,2018-10-19 10:48:00,21.8,0.592916713700094,48.3194076982637,28.7003695942649,1679.0317045907,997.297623827728,13.4220576939621,7.9723248872958
"12","IIS-BMP2","C1",2018-10-25,"14.08",20.6,997.15,"466.4",34,466.37,NA,177,2018-10-25 14:08:00,27.9,0.592916713700094,30.3537909293026,18.0292983659511,1709.38549552,1015.32692219368,4.97603129988567,2.9556226829428
"13","IIS-BMP2","C1",2018-10-29,"09.46",20,1010.42,"466.34",27,466.32,NA,191,2018-10-29 09:46:00,31.8,0.592916713700094,24.5052511799312,14.5554301960037,1733.89074669993,1029.88235238968,6.2833977384439,3.7321615887189
"14","IIS-BMP2","C1",2018-11-16,"14.07",21.5,1000,"466.28",76,466.2,"Ambient pressure not measured.",205,2018-11-16 14:07:00,49.9,0.592916713700094,67.7443582835484,40.2382440779381,1801.63510498348,1070.12059646762,3.74278222561041,2.22310740762089
"15","IIS-BMP2","C1",2018-12-17,"11.38",21.4,1010.47,"466.17",111,466.06,NA,215,2018-12-17 11:38:00,80.8,0.592916713700094,100.05548206146,59.4301431223758,1901.69058704494,1129.55073959,3.23804149066213,1.92330560266588
"16",NA,"C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA
"17","IIS-BMP2","C2",2018-09-28,"09.00",20.3,1011.22,"471.89",216,471.66,NA,18,2018-09-28 09:00:00,0.726,0.590349838942337,195.913159256501,115.864428862851,195.913159256501,115.864428862851,269.852836441462,159.592877221558
"18","IIS-BMP2","C2",2018-09-29,"06.05",19,1000,"471.64",342,471.23,"Pressure not measured.",43,2018-09-29 06:05:00,1.6,0.590349838942337,308.620376753079,182.520274919955,504.53353600958,298.384703782806,353.112559214049,208.833266498804
"19","IIS-BMP2","C2",2018-09-30,"15.02",20.3,1002.34,"471.24",436,470.78,NA,46,2018-09-30 15:02:00,2.98,0.590349838942337,391.898000344568,231.771250868183,896.431536354149,530.155954650989,283.984058220702,167.950181788538
"20","IIS-BMP2","C2",2018-10-01,"08.50",20.3,1000.62,"470.79",181,470.59,NA,71,2018-10-01 08:50:00,3.72,0.590349838942337,162.405637432704,96.0478433233327,1058.83717378685,626.203797974321,219.467077611763,129.794382869368
"21","IIS-BMP2","C2",2018-10-03,"08.07",20,1002.27,"470.58",242,470.34,NA,89,2018-10-03 08:07:00,5.69,0.590349838942337,217.826140919338,128.82392129655,1276.66331470619,755.027719270871,110.57164513672,65.3928534500253
"22","IIS-BMP2","C2",2018-10-05,"11.09",20.1,1009.23,"470.33",142,470.19,NA,103,2018-10-05 11:09:00,7.82,0.590349838942337,128.661188592149,76.0911374693694,1405.32450329834,831.118856740241,60.4043138930276,35.7235387180138
"23","IIS-BMP2","C2",2018-10-08,"11.43",20.4,1007.72,"470.18",107,470.06,NA,125,2018-10-08 11:43:00,10.8,0.590349838942337,96.6580895861287,57.1642782310931,1501.98259288447,888.283134971334,32.4356005322579,19.1826437017091
"24","IIS-BMP2","C2",2018-10-11,"12.15",20.5,1009.19,"470.06",79,469.99,NA,129,2018-10-11 12:15:00,13.9,0.590349838942337,71.4358877303372,42.2476895559103,1573.41848061481,930.530824527244,23.0438347517217,13.6282869535194
"25","IIS-BMP2","C2",2018-10-15,"21.22",20.1,1006.09,"469.95",60,469.89,NA,153,2018-10-15 21:22:00,18.2,0.590349838942337,54.1907090413132,32.0487688349926,1627.60918965612,962.579593362237,12.602490474724,7.45320205464944
"26","IIS-BMP2","C2",2018-10-19,"10.48",20.5,1017.29,"469.89",52,469.84,NA,164,2018-10-19 10:48:00,21.8,0.590349838942337,47.4077207605606,28.0372615625084,1675.01691041668,990.616854924745,13.1688113223779,7.78812821180788
"27","IIS-BMP2","C2",2018-10-25,"14.08",20.6,997.15,"469.78",38,469.75,NA,178,2018-10-25 14:08:00,27.9,0.590349838942337,33.9248251562793,20.0633816836066,1708.94173557296,1010.68023660835,5.56144674693104,3.28907896452567
"28","IIS-BMP2","C2",2018-10-29,"09.46",20,1010.42,"469.73",27,469.7,NA,192,2018-10-29 09:46:00,31.8,0.590349838942337,24.5052511799312,14.492578971615,1733.44698675289,1025.17281557997,6.2833977384439,3.7160458901577
"29","IIS-BMP2","C2",2018-11-16,"14.07",21.5,1000,"469.66",92,469.55,"Ambient pressure not measured.",206,2018-11-16 14:07:00,49.9,0.590349838942337,82.0063284485059,48.4991230037051,1815.4533152014,1073.67193858367,4.53073637837049,2.67950955821575
"30","IIS-BMP2","C2",2018-12-17,"11.38",21.4,1010.47,"469.53",105,469.43,NA,216,2018-12-17 11:38:00,80.8,0.590349838942337,94.6470776257053,55.9749515257555,1910.1003928271,1129.64689010943,3.06301222089661,1.81148710439338
"31",NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA
"32","IIS-BMP2","C3",2018-09-28,"09.00",20.3,1011.22,"468.28",202,468.25,NA,19,2018-09-28 09:00:00,0.726,0.591888191001564,183.215084119506,108.636320816803,183.215084119506,108.636320816803,252.362374820256,149.636805532787
"33","IIS-BMP2","C3",2018-09-29,"06.05",19,1000,"468.04",331,467.66,"Pressure not measured.",44,2018-09-29 06:05:00,1.6,0.591888191001564,298.693990366284,177.108868079428,481.90907448579,285.745188896231,341.755137718861,202.641725491336
"34","IIS-BMP2","C3",2018-09-30,"15.02",20.3,1002.34,"467.66",434,467.22,NA,47,2018-09-30 15:02:00,2.98,0.591888191001564,390.100303095281,231.307710724018,872.009377581071,517.052899620249,282.681379054552,167.614283133346
"35","IIS-BMP2","C3",2018-10-01,"08.50",20.3,1000.62,"467.2",207,466.99,NA,72,2018-10-01 08:50:00,3.72,0.591888191001564,185.734624025248,110.130267381445,1057.74400160632,627.183167001694,250.992735169253,148.824685650602
"36","IIS-BMP2","C3",2018-10-03,"08.07",20,1002.27,"466.98",270,466.7,NA,90,2018-10-03 08:07:00,5.69,0.591888191001564,243.029165488517,144.10273322599,1300.77316709484,771.285900227684,123.365058623613,73.148595546188
"37","IIS-BMP2","C3",2018-10-05,"11.09",20.1,1009.23,"466.7",151,466.54,NA,104,2018-10-05 11:09:00,7.82,0.591888191001564,136.815770967707,81.1241173677128,1437.58893806254,852.410017595397,64.2327563228674,38.0864400787384
"38","IIS-BMP2","C3",2018-10-08,"11.43",20.4,1007.72,"466.53",102,466.42,NA,126,2018-10-08 11:43:00,10.8,0.591888191001564,92.1413564278984,54.6346825399345,1529.73029449044,907.044700135332,30.9199182643954,18.3337860872263
