"method","descrip","elapsed.time","mean","se","sd","n","rsd","pid"
"gd01","Cellulose",0,0,0,0,3,NA,"Cellulose.gd01"
"gd01","Cellulose",0.725694444444444,13.105794093087,1.0908949074939,1.88948540549758,3,14.4171760373852,"Cellulose.gd01"
"gd01","Cellulose",1.60416666666667,25.1911428970219,1.9991457183299,3.46262195588117,3,13.7453944429433,"Cellulose.gd01"
"gd01","Cellulose",2.97708333333333,126.152661316954,5.57789096377438,9.66119054833656,3,7.6583327275698,"Cellulose.gd01"
"gd01","Cellulose",3.71875,214.831657961451,3.40866305691525,5.90397760046026,3,2.7481878864984,"Cellulose.gd01"
"gd01","Cellulose",4.75694444444444,315.226542016004,5.59125315117745,9.68433453581894,3,3.07218246086881,"Cellulose.gd01"
"gd01","Cellulose",5.68888888888889,350.763329444421,5.68742813450875,9.85091449336584,3,2.8084219946734,"Cellulose.gd01"
"gd01","Cellulose",7.81527777777778,380.881479437459,6.90743040062277,11.9640204036245,3,3.14113997385608,"Cellulose.gd01"
"gd01","Cellulose",10.8388888888889,390.254260058505,6.50927641791534,11.2743974763393,3,2.88898767553469,"Cellulose.gd01"
"gd01","Cellulose",13.8597222222222,394.404099952987,5.52598338127358,9.5712839781471,3,2.42677091320501,"Cellulose.gd01"
"gd01","Cellulose",18.2409722222222,402.425110838138,5.78848968334303,10.0259582306384,3,2.49138484667549,"Cellulose.gd01"
"gd01","Cellulose",21.8006944444444,394.494695613104,4.70345749351052,8.14662735000078,3,2.06507905951427,"Cellulose.gd01"
"gd01","Cellulose",27.9395833333333,387.496679525492,2.25550822858875,3.90665484880539,3,1.00817763228043,"Cellulose.gd01"
"gd01","Cellulose",31.7576388888889,386.768555121743,2.38737371785056,4.13505257597178,3,1.06912842867234,"Cellulose.gd01"
"gd01","Cellulose",49.9388888888889,386.967408381425,6.68768558920039,11.5834112255413,3,2.99338160647467,"Cellulose.gd01"
"gd01","Cellulose",80.8354166666667,375.964487046091,3.50998207015533,6.07946727916482,3,1.61703232316714,"Cellulose.gd01"
"gd01","Cellulose",129.899305555556,367.407525265117,7.21624629615253,12.4989052248669,3,3.40191867759046,"Cellulose.gd01"
"gd01","Substrate C",0,0,0,0,3,NA,"Substrate C.gd01"
"gd01","Substrate C",0.725694444444444,35.7501970567763,22.6262695566899,39.1898484579358,3,109.621349487101,"Substrate C.gd01"
"gd01","Substrate C",1.60416666666667,99.5815135894513,52.7095664423552,91.2956471230867,3,91.67931258755,"Substrate C.gd01"
"gd01","Substrate C",2.97708333333333,246.765112951082,55.2554034577461,95.7051661815332,3,38.7839127812632,"Substrate C.gd01"
"gd01","Substrate C",3.71875,293.335921997405,51.7458210313721,89.6263911057027,3,30.554181872923,"Substrate C.gd01"
"gd01","Substrate C",5.68888888888889,370.429809008465,51.6526617670369,89.4650345266783,3,24.151683355654,"Substrate C.gd01"
"gd01","Substrate C",7.81527777777778,406.315881245125,49.9576605758877,86.5292063447181,3,21.2960433836737,"Substrate C.gd01"
"gd01","Substrate C",10.8388888888889,429.285425628173,52.191978867646,90.3991591463241,3,21.0580545598638,"Substrate C.gd01"
"gd01","Substrate C",13.8597222222222,441.002731973563,51.7643513214787,89.6584865096462,3,20.3305966174879,"Substrate C.gd01"
"gd01","Substrate C",18.2409722222222,443.94377088093,50.5474175777404,87.5506954360465,3,19.7211226237767,"Substrate C.gd01"
"gd01","Substrate C",21.8006944444444,444.919371884262,53.049223045356,91.8839496166104,3,20.6518204023071,"Substrate C.gd01"
"gd01","Substrate C",27.9395833333333,442.327893758776,54.5479493456377,94.4798197153381,3,21.3596793348201,"Substrate C.gd01"
"gd01","Substrate C",31.7576388888889,441.680931715761,53.8077088068631,93.1976854923583,3,21.1006812384499,"Substrate C.gd01"
"gd01","Substrate C",49.9388888888889,444.664440830799,53.7918776025586,93.1702650421578,3,20.9529381004879,"Substrate C.gd01"
"gd01","Substrate C",80.8354166666667,450.643507807334,54.8519086332915,95.0062926449868,3,21.0823613341847,"Substrate C.gd01"
"gd01","Substrate C",129.899305555556,451.060961691499,54.9530266854831,95.181434248945,3,21.1016785607006,"Substrate C.gd01"
"gd01","Substrate D",0,0,0,0,3,NA,"Substrate D.gd01"
"gd01","Substrate D",0.725694444444444,18.9228932071771,1.01285066026368,1.75430880405637,3,9.27082758883294,"Substrate D.gd01"
"gd01","Substrate D",1.60416666666667,38.6707238782222,0.368781299572008,0.638747947739996,3,1.65176103181175,"Substrate D.gd01"
"gd01","Substrate D",2.97708333333333,78.5757159273081,1.73807419633894,3.01043281538348,3,3.83125088948409,"Substrate D.gd01"
"gd01","Substrate D",3.71875,97.5747172895415,1.00483513027057,1.74042549885872,3,1.78368490035612,"Substrate D.gd01"
"gd01","Substrate D",5.68888888888889,152.215976850172,1.16274597430964,2.01393510380048,3,1.32307734409694,"Substrate D.gd01"
"gd01","Substrate D",7.81527777777778,205.993285626128,1.03719306055674,1.79647107814214,3,0.872101764230648,"Substrate D.gd01"
"gd01","Substrate D",9.23958333333333,231.744864006142,1.06495592456272,1.84455776916411,3,0.79594332201262,"Substrate D.gd01"
"gd01","Substrate D",10.8388888888889,256.45990201683,1.13323045527554,1.96281272522165,3,0.76534877763965,"Substrate D.gd01"
"gd01","Substrate D",13.8597222222222,282.816640752958,2.07996895577187,3.60261190956285,3,1.27383307430971,"Substrate D.gd01"
"gd01","Substrate D",18.2409722222222,306.720334028287,2.78105813050256,4.81693398083295,3,1.57046450672837,"Substrate D.gd01"
"gd01","Substrate D",21.8006944444444,314.547986015794,2.3129349250779,4.00612080483544,3,1.27361197112681,"Substrate D.gd01"
"gd01","Substrate D",27.9395833333333,319.831077940354,5.73524410656225,9.93373418637579,3,3.10593149682232,"Substrate D.gd01"
"gd01","Substrate D",31.7576388888889,321.395594593062,7.66464729490695,13.2755585368742,3,4.13059754402768,"Substrate D.gd01"
"gd01","Substrate D",49.9388888888889,331.744868867294,6.15556015882148,10.6617429441256,3,3.21383808603548,"Substrate D.gd01"
"gd01","Substrate D",80.8354166666667,335.046517923617,7.86131147088314,13.6161908816936,3,4.06397027077828,"Substrate D.gd01"
"gd01","Substrate D",129.899305555556,341.460481071671,8.12512728057972,14.073133267928,3,4.12145300790288,"Substrate D.gd01"
"gd02","Cellulose",0,0,0,0,3,NA,"Cellulose.gd02"
"gd02","Cellulose",0.725694444444444,13.105794093087,1.0908949074939,1.88948540549758,3,14.4171760373852,"Cellulose.gd02"
"gd02","Cellulose",1.60416666666667,25.1911428970219,1.9991457183299,3.46262195588117,3,13.7453944429434,"Cellulose.gd02"
"gd02","Cellulose",2.97708333333333,126.152661316954,5.57789096377434,9.6611905483365,3,7.65833272756975,"Cellulose.gd02"
"gd02","Cellulose",3.71875,214.831657961451,3.40866305691517,5.90397760046012,3,2.74818788649833,"Cellulose.gd02"
"gd02","Cellulose",4.75694444444444,315.226542016004,5.59125315117745,9.68433453581894,3,3.07218246086881,"Cellulose.gd02"
"gd02","Cellulose",5.68888888888889,350.76332944442,5.68742813450865,9.85091449336566,3,2.80842199467335,"Cellulose.gd02"
"gd02","Cellulose",7.81527777777778,380.881479437459,6.9074304006227,11.9640204036244,3,3.14113997385606,"Cellulose.gd02"
"gd02","Cellulose",10.8388888888889,390.254260058505,6.50927641791539,11.2743974763394,3,2.88898767553471,"Cellulose.gd02"
"gd02","Cellulose",13.8597222222222,394.404099952987,5.52598338127368,9.57128397814727,3,2.42677091320505,"Cellulose.gd02"
"gd02","Cellulose",18.2409722222222,402.425110838138,5.78848968334293,10.0259582306382,3,2.49138484667544,"Cellulose.gd02"
"gd02","Cellulose",21.8006944444444,394.494695613104,4.70345749351046,8.14662735000068,3,2.06507905951425,"Cellulose.gd02"
"gd02","Cellulose",27.9395833333333,392.212598345652,7.48129327743077,12.9579800628336,3,3.30381535868307,"Cellulose.gd02"
"gd02","Cellulose",31.7576388888889,389.254432812015,5.12904588089306,8.88376806005865,3,2.28225225230741,"Cellulose.gd02"
"gd02","Cellulose",49.9388888888889,389.453286071697,9.45465425257977,16.3759415334653,3,4.20485386030369,"Cellulose.gd02"
"gd02","Cellulose",80.8354166666667,378.450364736364,7.00192635677839,12.1276922007958,3,3.204566128307,"Cellulose.gd02"
"gd02","Cellulose",129.899305555556,369.89340295539,9.01310146400143,15.6111496694239,3,4.22044555125701,"Cellulose.gd02"
"gd02","Substrate C",0,0,0,0,3,NA,"Substrate C.gd02"
"gd02","Substrate C",0.725694444444444,36.8353918326409,21.563880703834,37.3497369873946,3,101.396334148122,"Substrate C.gd02"
"gd02","Substrate C",1.60416666666667,149.1211410632,3.23751349638048,5.60753786592094,3,3.76039093178905,"Substrate C.gd02"
"gd02","Substrate C",2.97708333333333,296.304740424831,7.26332252873786,12.5804436515336,3,4.24577873222557,"Substrate C.gd02"
