"Substrate type","ID","Initial mass [g]","Final mass [g]","Cum total mass [g]","Cum biogas [mL]","xCH4 [mol/mol]","Cum CH4 [mL]"
"FIC","C1",466.37,466.35,2.16,1704,0.58,987
"FIC","C2",469.76,469.73,2.17,1704,0.58,984
"FIC","C3",466.14,466.11,2.19,1718,0.58,990
"LBD","D1",468.07,468.01,3.14,2306,0.51,1169
"LBD","D2",469.04,469,3.1,2302,0.52,1194
"LBD","D3",469.47,469.42,3.09,2281,0.51,1169
"Inoculum","I1",728.46,728.39,1.1,867,0.58,500
"Inoculum","I2",720.99,720.92,1.16,949,0.61,582
"Inoculum","I3",739.45,739.39,1.14,906,0.58,530
"Inoculum","I4",722.76,722.71,1.06,846,0.59,498
"Cellulose","L1",465.68,465.66,2.1,1527,0.5,757
"Cellulose","L2",466.41,466.37,2.13,1571,0.51,800
"Cellulose","L3",468.43,468.41,2.14,1550,0.49,762
