"method","descrip","time.d","mean","se","sd","n","rerr"
"man","C",27.1458333333333,484.824016722244,13.6752994275526,23.6863134172388,3,4.27145936414148
"man","L",27.1458333333333,323.074820839352,6.53583731615221,11.3204023015802,3,12.8885943296386
"grav","C",27.1458333333333,506.457127103258,3.60690109359052,6.24733595197453,3,0
"grav","L",27.1458333333333,370.875453510532,4.95141958491494,8.57611029066428,3,0
"gdt","C",27.1458333333333,502.136374126027,5.41890901311056,9.38582573230042,3,0.853133018769836
"gdt","L",27.1458333333333,357.722897569648,3.40361119503927,5.89522751901824,3,3.54635385447812
"gdi","C",27.1458333333333,502.136374126027,5.41890901311053,9.38582573230036,3,0.853133018769836
"gdi","L",27.1458333333333,357.722897569648,3.4036111950393,5.89522751901829,3,3.54635385447812
"gdv","C",27.1458333333333,505.09580865148,4.22510063994585,7.31808897547799,3,0.26879243650183
"gdv","L",27.1458333333333,360.292914411793,1.86576000833085,3.23159112915917,3,2.85339431298828
"gdtc","C",27.1458333333333,515.23460270797,6.26073383137222,10.8439090886021,3,-1.73311325578847
"gdtc","L",27.1458333333333,359.646321022362,4.0272360016696,6.97537736896229,3,3.02773677305423
