method,descrip,elapsed.time,mean,se,sd,n,leak.l,rsd,lwr,upr
gd01,C,27,503.328667,5.419385795,9.386651543,3,FALSE,1.864914947,493.9420155,512.7153186
gd01,L,27,358.5618223,3.403744611,5.895458602,3,FALSE,1.64419585,352.6663637,364.4572809
gd02,C,27,503.328667,5.419385795,9.386651543,3,FALSE,1.864914947,493.9420155,512.7153186
gd02,L,27,358.5618223,3.403744611,5.895458602,3,FALSE,1.64419585,352.6663637,364.4572809
gd03,C,27,503.2664711,5.437279602,9.417644526,3,FALSE,1.871303786,493.8488266,512.6841157
gd03,L,27,358.5402074,3.417681972,5.919598819,3,FALSE,1.65102789,352.6206086,364.4598062
gd04,C,27,505.2093355,4.232628745,7.331128035,3,FALSE,1.451107001,497.8782074,512.5404635
gd04,L,27,360.2863082,2.165621824,3.75096703,3,FALSE,1.041107293,356.5353412,364.0372753
gd05,C,27,504.9155931,4.210752356,7.293237018,3,FALSE,1.444446778,497.6223561,512.2088302
gd05,L,27,360.1569593,1.864407632,3.229248745,3,FALSE,0.896622615,356.9277105,363.386208
gd06,C,27,503.2664711,5.437279602,9.417644526,3,FALSE,1.871303786,493.8488266,512.6841157
gd06,L,27,358.5402074,3.417681972,5.919598819,3,FALSE,1.65102789,352.6206086,364.4598062
gd07,C,27,501.9648533,5.404701488,9.361217577,3,FALSE,1.864914947,492.6036357,511.3260708
gd07,L,27,357.5902672,3.394521862,5.879484333,3,FALSE,1.64419585,351.7107829,363.4697516
gd08,C,27,501.9648533,5.404701488,9.361217577,3,FALSE,1.864914947,492.6036357,511.3260708
gd08,L,27,357.5902672,3.394521862,5.879484333,3,FALSE,1.64419585,351.7107829,363.4697516
gd09,C,27,501.9256349,5.416242893,9.381207876,3,FALSE,1.869043385,492.544427,511.3068428
gd09,L,27,357.575664,3.403914917,5.89575358,3,FALSE,1.648812874,351.6799104,363.4714175
gd10,C,27,502.7529985,4.571898487,7.918760467,3,FALSE,1.575079709,494.8342381,510.671759
gd10,L,27,358.8041064,2.035866136,3.526223585,3,FALSE,0.982771245,355.2778829,362.33033
gd11,C,27,502.7529985,4.571898487,7.918760467,3,FALSE,1.575079709,494.8342381,510.671759
gd11,L,27,358.8041064,2.035866136,3.526223585,3,FALSE,0.982771245,355.2778829,362.33033
gd12,C,27,502.7220033,4.582237468,7.936668107,3,FALSE,1.578738956,494.7853352,510.6586714
gd12,L,27,358.7966159,2.038176636,3.530225489,3,FALSE,0.983907131,355.2663904,362.3268414
grav,C,27,502.4956123,3.617082108,6.264969986,3,FALSE,1.246771083,496.2306423,508.7605823
grav,L,27,368.1885578,4.993994359,8.649851963,3,FALSE,2.349299504,359.5387059,376.8384098
