method,descrip,elapsed.time,mean,se,sd,n,leak.l,rsd,method.label,lwr,upr,,,Method,Mean BMP,Standard deviation,RSD,Mean BMP,Standard deviation,RSD
GD01,C,27.1458333,503.5006538,5.433631918,9.411326552,3,FALSE,1.869178616,GD01,494.0893273,512.9119804,,,,Cellulose,,,Feed ingredient C (FIC),,
GD01,L,27.1458333,358.694813,3.412858637,5.911244558,3,FALSE,1.647987187,GD01,352.7835684,364.6060576,,,GD01,358.69,5.91,1.65,503.50,9.41,1.87
GD02,C,27.1458333,503.5006538,5.433631918,9.411326552,3,FALSE,1.869178616,GD02,494.0893273,512.9119804,,,GD02,358.69,5.91,1.65,503.50,9.41,1.87
GD02,L,27.1458333,358.694813,3.412858637,5.911244558,3,FALSE,1.647987187,GD02,352.7835684,364.6060576,,,GD03,358.69,5.91,1.65,503.50,9.41,1.87
GD03,C,27.1458333,503.5006538,5.433631922,9.411326559,3,FALSE,1.869178617,GD03,494.0893273,512.9119804,,,GD04,360.42,3.75,1.04,505.39,7.36,1.46
GD03,L,27.1458333,358.694813,3.41285864,5.911244563,3,FALSE,1.647987188,GD03,352.7835684,364.6060576,,,GD05,360.29,3.23,0.90,505.10,7.32,1.45
GD04,C,27.1458333,505.3874645,4.249397539,7.360172438,3,FALSE,1.456342501,GD04,498.027292,512.7476369,,,GD06,358.69,5.91,1.65,503.50,9.41,1.87
GD04,L,27.1458333,360.4210194,2.167872787,3.754865812,3,FALSE,1.041799898,GD04,356.6661536,364.1758852,,,GD07,357.72,5.90,1.65,502.14,9.39,1.87
GD05,C,27.1458333,505.0958086,4.225100637,7.31808897,3,FALSE,1.448851653,GD05,497.7777196,512.4138976,,,GD08,357.72,5.90,1.65,502.14,9.39,1.87
GD05,L,27.1458333,360.2929144,1.865760008,3.231591129,3,FALSE,0.896934411,GD05,357.0613233,363.5245055,,,GD09,357.72,5.90,1.65,502.14,9.39,1.87
GD06,C,27.1458333,503.5006538,5.433631922,9.411326559,3,FALSE,1.869178617,GD06,494.0893273,512.9119804,,,GD10,358.94,3.53,0.98,502.93,7.94,1.58
GD06,L,27.1458333,358.694813,3.41285864,5.911244563,3,FALSE,1.647987188,GD06,352.7835684,364.6060576,,,GD11,358.94,3.53,0.98,502.93,7.94,1.58
GD07,C,27.1458333,502.1363741,5.41890901,9.385825727,3,FALSE,1.869178616,GD07,492.7505484,511.5221998,,,GD12,358.94,3.53,0.98,502.93,7.94,1.58
GD07,L,27.1458333,357.7228975,3.403611193,5.895227515,3,FALSE,1.647987187,GD07,351.82767,363.6181251,,,grav,368.40,8.69,2.36,502.67,6.28,1.25
GD08,C,27.1458333,502.1363741,5.41890901,9.385825727,3,FALSE,1.869178616,GD08,492.7505484,511.5221998,,,,,,,,,
GD08,L,27.1458333,357.7228975,3.403611193,5.895227515,3,FALSE,1.647987187,GD08,351.82767,363.6181251,,,,,,,,,
GD09,C,27.1458333,502.1363741,5.418909012,9.385825731,3,FALSE,1.869178617,GD09,492.7505483,511.5221998,,,,,,,,,
GD09,L,27.1458333,357.7228975,3.403611195,5.895227519,3,FALSE,1.647987188,GD09,351.82767,363.6181251,,,,,,,,,
GD10,C,27.1458333,502.927966,4.585438837,7.942213041,3,FALSE,1.57919495,GD10,494.9857529,510.870179,,,,,,,,,
GD10,L,27.1458333,358.9400103,2.037496236,3.529047,3,FALSE,0.983185741,GD10,355.4109633,362.4690573,,,,,,,,,
GD11,C,27.1458333,502.927966,4.585438837,7.942213041,3,FALSE,1.57919495,GD11,494.9857529,510.870179,,,,,,,,,
GD11,L,27.1458333,358.9400103,2.037496236,3.529047,3,FALSE,0.983185741,GD11,355.4109633,362.4690573,,,,,,,,,
GD12,C,27.1458333,502.927966,4.58543884,7.942213045,3,FALSE,1.579194951,GD12,494.9857529,510.870179,,,,,,,,,
GD12,L,27.1458333,358.9400103,2.037496236,3.529047001,3,FALSE,0.983185741,GD12,355.4109633,362.4690573,,,,,,,,,
grav,C,27.1458333,502.6681832,3.62732589,6.282712737,3,FALSE,1.249872768,Gravimetric,496.3854704,508.9508959,,,,,,,,,
grav,L,27.1458333,368.4011013,5.016952077,8.689615896,3,FALSE,2.358737763,Gravimetric,359.7114854,377.0907172,,,,,,,,,
