"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.ino.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gdt",27.1458333333333,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,501.681677039115,1.08475335361479,0.0254896968641625,3,4.06999894410435,611.685884992024,110.004207952909,0.17983774131774,2.5848953636862,0
"gdt",27.1458333333333,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,494.125862140664,1.08475335361479,0.0254896968641625,3,4.06999894410435,604.255911571883,110.130049431219,0.182257297483001,2.58785240560211,0
"gdt",27.1458333333333,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,510.601583198301,1.08475335361479,0.0254896968641625,3,4.06999894410435,620.737160524648,110.135577326346,0.177427072729558,2.58798230091023,0
"gdt",27.1458333333333,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,362.243710961433,1.08475335361479,0.0254896968641625,3,4.06999894410435,466.920715316204,104.677004354771,0.22418582196312,2.45971593520349,0
"gdt",27.1458333333333,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,354.330129889814,1.08475335361479,0.0254896968641625,3,4.06999894410435,459.032775783656,104.702645893842,0.2280940521406,2.46031846393121,0
"gdt",27.1458333333333,"L3","L","Cellulose",80.008,0.852,0,80.9764,79.0116,0.829826835666651,1.52063447216988,1.83247203731157,973.975159233159,19.0060302990936,356.594851857696,1.08475335361479,0.0254896968641625,3,4.06999894410435,461.181667547127,104.586815689432,0.226780080495598,2.45759666842969,0
"gdi",27.1458333333333,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,501.681677039115,1.08475335361479,0.0254896968641625,3,4.06999894410435,611.685884992024,110.004207952909,0.17983774131774,2.5848953636862,0
"gdi",27.1458333333333,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,494.125862140664,1.08475335361479,0.0254896968641625,3,4.06999894410435,604.255911571883,110.130049431219,0.182257297483001,2.58785240560211,0
"gdi",27.1458333333333,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,510.601583198301,1.08475335361479,0.0254896968641625,3,4.06999894410435,620.737160524647,110.135577326346,0.177427072729558,2.58798230091023,0
"gdi",27.1458333333333,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,362.243710961433,1.08475335361479,0.0254896968641625,3,4.06999894410435,466.920715316204,104.677004354771,0.22418582196312,2.45971593520349,0
"gdi",27.1458333333333,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,354.330129889814,1.08475335361479,0.0254896968641625,3,4.06999894410435,459.032775783656,104.702645893842,0.2280940521406,2.46031846393121,0
"gdi",27.1458333333333,"L3","L","Cellulose",80.008,0.852,0,80.9764,79.0116,0.829826835666651,1.52063447216988,1.83247203731157,973.975159233159,19.0060302990936,356.594851857696,1.08475335361479,0.0254896968641625,3,4.06999894410435,461.181667547127,104.586815689432,0.226780080495598,2.45759666842969,0
"gdv",27.1458333333333,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,503.749712034051,1.13789927112004,0.0114689091319048,3,1.74573741525441,619.143416633007,115.393704598956,0.186376373387742,1.16305541802186,0
"gdv",27.1458333333333,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,498.831204545462,1.13789927112004,0.0114689091319048,3,1.74573741525441,614.356916043469,115.525711498006,0.188043315670646,1.16438591815348,0
"gdv",27.1458333333333,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,512.706509374928,1.13789927112004,0.0114689091319048,3,1.74573741525441,628.238019599267,115.53151022434,0.183897673525129,1.16444436363023,0
"gdv",27.1458333333333,"L1","L","Cellulose",80.03,0.8515,0,80.8631,79.14,0.829339848087035,1.52105260483646,1.83405223847008,973.975159233159,19.0060302990936,360.067409444729,1.13789927112004,0.0114689091319048,3,1.74573741525441,469.872911830501,109.805502385772,0.233691918859503,1.10673181801583,0
"gdv",27.1458333333333,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,357.811059893654,1.13789927112004,0.0114689091319048,3,1.74573741525441,467.64346008852,109.832400194865,0.234863543636589,1.10700292156266,0
"gdv",27.1458333333333,"L3","L","Cellulose",80.008,0.852,0,80.9764,79.0116,0.829826835666651,1.52063447216988,1.83247203731157,973.975159233159,19.0060302990936,363.000273896995,1.13789927112004,0.0114689091319048,3,1.74573741525441,472.711168954556,109.710895057561,0.232088645800768,1.10577826889422,0
