"method","descrip","time.d","mean","se","sd","n"
"gdt","C",0,0,0,0,3
"gdt","C",0.840277777777778,78.7474345614726,1.40945004687835,2.44123909192363,3
"gdt","C",1.84375,188.040295675533,1.86903930212784,3.2372710326285,3
"gdt","C",2.85069444444444,294.608383488196,2.11416450520255,3.66184033856953,3
"gdt","C",3.80902777777778,356.376859986744,2.7645291998232,4.78830503310152,3
"gdt","C",4.86111111111111,392.732368401944,2.97834379999998,5.15864278400772,3
"gdt","C",5.85902777777778,414.113813627069,3.31306998397145,5.73840554126996,3
"gdt","C",6.83958333333333,429.696608449188,3.43035680604904,5.94155227616663,3
"gdt","C",8.91666666666667,450.048826805118,3.90441493968313,6.76264504936216,3
"gdt","C",10.8784722222222,463.8169447197,4.20067934685608,7.27579005505997,3
"gdt","C",13.125,473.12403955215,4.41844892141262,7.65297802253457,3
"gdt","C",15.8541666666667,481.78608051589,4.95450099535096,8.58144745009844,3
"gdt","C",18.9097222222222,488.539643562331,5.19528312269969,8.99849432822096,3
"gdt","C",22.8611111111111,495.944654746755,5.34723594927788,9.26168434420808,3
"gdt","C",27.1458333333333,502.136374126027,5.41890901311056,9.38582573230042,3
"gdt","L",0,0,0,0,3
"gdt","L",0.840277777777778,0.307912554244124,0.46629092828742,0.807639578902267,3
"gdt","L",1.84375,16.119721617907,0.626220902133343,1.08464641925657,3
"gdt","L",2.85069444444444,96.0083549432315,1.6735852265956,2.89873464326026,3
"gdt","L",3.80902777777778,188.147662231476,1.52165938542362,2.63559136736775,3
"gdt","L",4.86111111111111,250.897514795232,1.7892680657138,3.0991031981768,3
"gdt","L",5.85902777777778,281.450631139738,2.16558013494213,3.75089482158163,3
"gdt","L",6.83958333333333,300.666201600194,2.39551824394444,4.14915930896995,3
"gdt","L",8.91666666666667,321.44076247215,2.63001668270048,4.55532251919099,3
"gdt","L",10.8784722222222,333.754205755141,2.62734203117765,4.55068988686091,3
"gdt","L",13.125,339.810616461655,2.74159085895998,4.74857466128508,3
"gdt","L",15.8541666666667,344.963360327152,2.81878651563683,4.88228146077303,3
"gdt","L",18.9097222222222,349.019106461243,3.00362460036637,5.20243041469831,3
"gdt","L",22.8611111111111,353.397033811741,3.42109162289054,5.92550450819469,3
"gdt","L",27.1458333333333,357.722897569648,3.40361119503927,5.89522751901824,3
"gdi","C",0,0,0,0,3
"gdi","C",0.840277777777778,69.3361941683574,1.92813713192732,3.33963147645826,3
"gdi","C",1.84375,173.970536849671,1.95575243521091,3.38746258481186,3
"gdi","C",2.85069444444444,288.854471406706,1.31113862003704,2.27095870566991,3
"gdi","C",3.80902777777778,356.840020519794,2.40852168415048,4.17168192807998,3
"gdi","C",4.86111111111111,394.532776585237,2.4949668531058,4.32140935277948,3
"gdi","C",5.85902777777778,416.466361707372,2.42861457657057,4.20648383862261,3
"gdi","C",6.83958333333333,431.737209559298,2.66411756420336,4.61438697853686,3
"gdi","C",8.91666666666667,451.437780094489,3.17786822216432,5.50422922054718,3
"gdi","C",10.8784722222222,467.134886027352,3.52507171231756,6.10560330605784,3
"gdi","C",13.125,475.205708584911,3.86843772694487,6.70033068898477,3
"gdi","C",15.8541666666667,483.320101747448,5.02240260408444,8.69905648634048,3
"gdi","C",18.9097222222222,490.035036027844,4.59335287127684,7.95592055014386,3
"gdi","C",22.8611111111111,497.096928106518,5.00239817436724,8.66440779769385,3
"gdi","C",27.1458333333333,502.136374126027,5.41890901311053,9.38582573230036,3
"gdi","L",0,0,0,0,3
"gdi","L",0.840277777777778,1.47892611785766,0.329137046691122,0.570082087522193,3
"gdi","L",1.84375,22.40549329525,1.80606964454892,3.12820438636659,3
"gdi","L",2.85069444444444,109.105984971628,1.3145437347899,2.27685653742745,3
"gdi","L",3.80902777777778,199.892285352968,2.47906484686271,4.29386627002417,3
"gdi","L",4.86111111111111,256.067090975103,2.26595939619723,3.9247568021017,3
"gdi","L",5.85902777777778,281.528392707589,2.38124826483797,4.1244429801346,3
"gdi","L",6.83958333333333,298.032724948614,2.61609928324569,4.53121687622605,3
"gdi","L",8.91666666666667,319.033978549411,2.73149065072298,4.73108058745157,3
"gdi","L",10.8784722222222,332.829390033354,2.79429556512677,4.83986189016396,3
"gdi","L",13.125,338.711283269067,2.67452927009923,4.63242058214198,3
"gdi","L",15.8541666666667,344.503142482905,2.65075943638597,4.59125002246314,3
"gdi","L",18.9097222222222,348.627218193246,2.37298057109046,4.11012291450249,3
"gdi","L",22.8611111111111,353.82609150337,3.13930791935701,5.43744081692968,3
"gdi","L",27.1458333333333,357.722897569648,3.4036111950393,5.89522751901829,3
"gdv","C",0,0,0,0,3
"gdv","C",0.840277777777778,85.2242551765435,1.10813412962004,1.91934461410302,3
"gdv","C",1.84375,198.397071735744,1.70630863296045,2.95541324568089,3
"gdv","C",2.85069444444444,301.367374259784,2.16675373084566,3.7529275493141,3
"gdv","C",3.80902777777778,359.800764545149,2.38420194909003,4.12955891132868,3
"gdv","C",4.86111111111111,395.715769473754,2.5429003298354,4.40443256985858,3
"gdv","C",5.85902777777778,416.604812025463,2.98767319693582,5.17480177350458,3
"gdv","C",6.83958333333333,432.709194775401,2.99061287386536,5.17989344330438,3
"gdv","C",8.91666666666667,452.945892428293,3.35404750290215,5.80938068602604,3
"gdv","C",10.8784722222222,465.111772067535,3.50130301909388,6.06443472176491,3
"gdv","C",13.125,475.01485133517,3.59641784571361,6.22917843402338,3
"gdv","C",15.8541666666667,483.95178350733,3.78380185748921,6.55373706294481,3
"gdv","C",18.9097222222222,490.437894925901,4.3430575853333,7.52239639799468,3
"gdv","C",22.8611111111111,498.414178310542,4.2748689592547,7.40429023312822,3
"gdv","C",27.1458333333333,505.09580865148,4.22510063994585,7.31808897547799,3
"gdv","L",0,0,0,0,3
"gdv","L",0.840277777777778,-0.871046431924116,0.434471083602544,0.752525991219112,3
"gdv","L",1.84375,12.5721451427444,0.75041836521636,1.29976273548751,3
"gdv","L",2.85069444444444,90.2420288994644,2.72199785459366,4.71463858224971,3
"gdv","L",3.80902777777778,184.381361156508,1.85285559286994,3.2092400259389,3
"gdv","L",4.86111111111111,250.96644155265,1.17382099733663,2.03311760637821,3
"gdv","L",5.85902777777778,284.350681194603,1.11724660650538,1.93512788705123,3
"gdv","L",6.83958333333333,304.830389966423,1.04062090757279,1.80240828333451,3
"gdv","L",8.91666666666667,325.877807459321,1.36670849830371,2.36720855819819,3
"gdv","L",10.8784722222222,337.709908778083,1.45132617843052,2.51377067939644,3
"gdv","L",13.125,343.714211906652,1.4735190974672,2.55220994273623,3
"gdv","L",15.8541666666667,348.375546069283,1.56328376612192,2.70768690957078,3
"gdv","L",18.9097222222222,352.3445593696,1.80268609204232,3.12234390151508,3
"gdv","L",22.8611111111111,355.926590971916,1.87787652695743,3.25257755503126,3
"gdv","L",27.1458333333333,360.292914411793,1.86576000833085,3.23159112915917,3
