"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.ino.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gdt",0,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,0,0,0,3,NA,0,0,NA,0,0
"gdt",0.840277777777778,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,78.8898601469961,0.164658910803402,0.00292421861616241,3,3.07599217735588,95.587824716506,16.6979645695099,0.174687148902412,0.296543312523676,0
"gdt",1.84375,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,187.787749182584,0.271788584418232,0.00502045737709526,3,3.19943064311411,215.349671770737,27.5619225881527,0.127986833513707,0.509121668523386,0
"gdt",2.85069444444444,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,293.723324604444,0.357584832304083,0.00667234873236415,3,3.23191756647127,329.985794890895,36.2624702864509,0.109891003939853,0.676639012032923,0
"gdt",3.80902777777778,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,356.648154320282,0.428043787940869,0.00985659925598233,3,3.98840753730676,400.055826400473,43.4076720801908,0.108504036725959,0.999552009358065,0
"gdt",4.86111111111111,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,392.816011267781,0.485996319820941,0.0135443350522934,3,4.82708932321782,442.100615967805,49.2846047000247,0.1114782538634,1.37352315594264,0
"gdt",5.85902777777778,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,414.065244365573,0.536011910001949,0.015842208435411,3,5.11919780180414,468.421901034669,54.3566566690964,0.116042090579094,1.60654916194077,0
"gdt",6.83958333333333,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,429.911362687616,0.58124943226199,0.0167741362122584,3,4.99848336361333,488.855530231314,58.9441675436976,0.120575842756257,1.70105541686018,0
"gdt",8.91666666666667,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,450.078823359874,0.662423554153539,0.0207240862999405,3,5.41876420107173,517.254811487667,67.1759881277929,0.12987020446381,2.10161756253232,0
"gdt",10.8784722222222,"C1","C","Substrate C",80.006,0.9704,0,80.9884,79.0116,0.788940518043249,1.52059646010929,1.92739050071951,813.005480258912,19.0060302990936,464.271535267531,0.727380537597406,0.0207304463891952,3,4.93636886797519,538.03477338256,73.7632381150285,0.137097529312628,2.10226253549198,0
