"descrip","mean","sd","leak.l"
"C",510.128514941029,9.46365926517739,FALSE
"L",364.719421073999,5.95341887096433,FALSE
"C",478.335093537921,9.07275740419345,FALSE
"L",386.950074350025,10.3347605785817,FALSE
"C",510.065992449587,9.4948216845466,FALSE
"L",364.697692614021,5.97773766700052,FALSE
"C",512.019059077175,7.39540800643005,FALSE
"L",366.452962515487,3.77643960104977,FALSE
"C",480.636243581929,8.46990137239923,FALSE
"L",393.113361155577,7.49229305416992,FALSE
"C",510.065992449587,9.4948216845466,FALSE
"L",364.697692614021,5.97773766700052,FALSE
"C",508.746276403149,9.43801663952012,FALSE
"L",363.731181396043,5.93728755355205,FALSE
"C",488.835498606399,9.11369314599085,FALSE
"L",378.708445999184,8.66149494570069,FALSE
"C",508.707058022995,9.45801277408278,FALSE
"L",363.716578135874,5.95359160854105,FALSE
"C",509.534421659829,7.99246558587088,FALSE
"L",364.94502062732,3.56960951500628,FALSE
"C",490.56745290007,8.37377357147792,FALSE
"L",383.010288288565,6.61526121747647,FALSE
"C",509.503426469977,8.01048365292758,FALSE
"L",364.937530101227,3.57381511895775,FALSE
