"method","elapsed.time","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.inoc.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se","leak.l"
"man",27.1458333,"C1","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,482.515835389101,1.30038981258356,0.0214036152736235,3,2.85084893474518,614.417280405874,131.901445016774,0.214677303557676,2.17101653354626,0,FALSE
"man",27.1458333,"C2","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,511.042196212576,1.30038981258356,0.0214036152736235,3,2.85084893474518,642.943641229349,131.901445016774,0.205152421703043,2.17101653354626,0,FALSE
"man",27.1458333,"C3","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,464.434428989072,1.30038981258356,0.0214036152736235,3,2.85084893474518,596.335874005845,131.901445016774,0.221186500370562,2.17101653354626,0,FALSE
"man",27.1458333,"L1","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,321.841599954143,1.30038981258356,0.0214036152736235,3,2.85084893474518,447.293962365451,125.452362411307,0.280469608281476,2.06486860650201,0,FALSE
"man",27.1458333,"L2","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,335.764850746872,1.30038981258356,0.0214036152736235,3,2.85084893474518,461.217213158179,125.452362411307,0.272002776202288,2.06486860650201,0,FALSE
"man",27.1458333,"L3","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,314.530344156527,1.30038981258356,0.0214036152736235,3,2.85084893474518,439.982706567834,125.452362411307,0.285130212025653,2.06486860650201,0,FALSE
"grav",27.1458333,"C1","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,500.62940503171,1.24082146672219,0.0333742911182536,3,4.65868534948163,626.488699594565,125.859294562855,0.200896352391201,3.38522893851513,0,FALSE
"grav",27.1458333,"C2","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,505.093165422649,1.24082146672219,0.0333742911182536,3,4.65868534948163,630.952459985504,125.859294562855,0.199475083377513,3.38522893851513,0,FALSE
"grav",27.1458333,"C3","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,502.281979011077,1.24082146672219,0.0333742911182536,3,4.65868534948163,628.141273573932,125.859294562855,0.200367815104322,3.38522893851513,0,FALSE
"grav",27.1458333,"L1","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,360.818418364069,1.24082146672219,0.0333742911182536,3,4.65868534948163,480.52405034045,119.705631976381,0.249114756881722,3.21971429187784,0,FALSE
"grav",27.1458333,"L2","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,373.326873835828,1.24082146672219,0.0333742911182536,3,4.65868534948163,493.032505812209,119.705631976381,0.242794603936269,3.21971429187784,0,FALSE
"grav",27.1458333,"L3","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,371.058011638135,1.24082146672219,0.0333742911182536,3,4.65868534948163,490.763643614516,119.705631976381,0.243917074000713,3.21971429187784,0,FALSE
