"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.inoc.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"man",27.1458333333333,"C1","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,481.733760634922,1.29799444242772,0.0213734574624777,3,2.85208572921028,613.392237903219,131.658477268298,0.214639946730253,2.16795755936008,0
"man",27.1458333333333,"C2","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,510.218862488343,1.29799444242772,0.0213734574624777,3,2.85208572921028,641.877339756641,131.658477268298,0.205114698889688,2.16795755936008,0
"man",27.1458333333333,"C3","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,463.670238864923,1.29799444242772,0.0213734574624777,3,2.85208572921028,595.328716133221,131.658477268298,0.221152572856632,2.16795755936008,0
"man",27.1458333333333,"L1","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,321.124168803093,1.29799444242772,0.0213734574624777,3,2.85208572921028,446.345442934569,125.221274131477,0.280547894268147,2.06195919532638,0
"man",27.1458333333333,"L2","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,335.023132014231,1.29799444242772,0.0213734574624777,3,2.85208572921028,460.244406145708,125.221274131477,0.272075602569808,2.06195919532638,0
"man",27.1458333333333,"L3","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,313.826448759923,1.29799444242772,0.0213734574624777,3,2.85208572921028,439.0477228914,125.221274131477,0.285211077526647,2.06195919532638,0
"grav",27.1458333333333,"C1","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,504.82812941307,1.24906113670921,0.0336647278483498,3,4.66822778666723,631.523192118087,126.695062705017,0.200618226355377,3.41468858516488,0
"grav",27.1458333333333,"C2","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,509.34542251563,1.24906113670921,0.0336647278483498,3,4.66822778666723,636.040485220647,126.695062705017,0.199193393579444,3.41468858516488,0
"grav",27.1458333333333,"C3","C","Substrate C",80.024,0.9704,0,80.9944,79.0056,0.788940518043249,1.52093856865467,1.9278241310599,813.005480258912,19.0060302990936,506.469940251899,1.24906113670921,0.0336647278483498,3,4.66822778666723,633.165002956916,126.695062705017,0.200098018862925,3.41468858516488,0
"grav",27.1458333333333,"L1","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,363.558402803147,1.24906113670921,0.0336647278483498,3,4.66822778666723,484.058939549896,120.500536746749,0.248937736505387,3.24773356238351,0
"grav",27.1458333333333,"L2","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,376.164279451178,1.24906113670921,0.0336647278483498,3,4.66822778666723,496.664816197927,120.500536746749,0.242619434308245,3.24773356238351,0
"grav",27.1458333333333,"L3","L","Cellulose",80.037,0.8518,0,80.8888,79.1112,0.829632040634805,1.52118564704856,1.83356665671278,973.975159233159,19.0060302990936,373.872480678912,1.24906113670921,0.0336647278483498,3,4.66822778666723,494.373017425662,120.500536746749,0.243744161795539,3.24773356238351,0
