"exper","descrip","gdt_k.mn","gdt_k.sd","gdv_k.mn","gdv_k.sd","grav_k.mn","grav_k.sd","vol_k.mn","vol_k.sd"
"IISBMP1","Cellulose",0.54,0.015,0.48,0.035,0.51,0.029,0.57,0.027
"IISBMP1","Ethanol",0.93,0.059,0.88,0.096,0.9,0.09,0.93,0.059
"IISBMP1","FI1",1.03,0.058,1.19,0.194,1.01,0.175,0.96,0.079
"IISBMP1","FI2",1.38,0.521,1.43,0.354,1.07,0.319,1.19,0.515
"IISBMP1","FI3",0.52,0.035,0.4,0.074,0.43,0.04,0.51,0.045
"TH","Cellulose",0.56,0.054,0.32,0.009,0.57,0.014,0.54,0.052
"TH","Ethanol",0.6,0.04,0.69,0.078,0.67,0.079,0.59,0.039
"TH","A",0.42,0.042,0.29,0.136,0.69,0.407,0.43,0.042
"TH","C3",0.48,0.032,0.43,0.012,0.41,0.013,0.47,0.031
"TH","C4",0.6,0.135,0.6,0.33,0.59,0.346,0.6,0.149
"TH","C5",0.71,0.481,0.67,0.428,0.94,0.133,1.01,0.239
"TH","C6",0.49,0.246,0.27,0.188,0.66,0.182,0.58,0.109
"TH","HS1",0.39,0.039,0.28,0.085,0.28,0.085,0.39,0.037
"TH","HS2",0.27,0.048,0.17,0.065,0.22,0.042,0.27,0.043
"TH","RS",0.54,0.032,0.25,0.049,0.44,0.162,0.56,0.032
"UQ2","C",0.35,0.003,0.37,0.003,0.51,0.018,NA,NA
"UQ2","L",0.52,0.009,0.5,0.005,0.56,0.011,NA,NA
