"method","descrip","time.d","mean","se","sd","n"
"man","A",20.9194444444444,245.41975534039,2.40130668353461,4.15918518043666,3
"man","C3",20.9194444444444,211.955534708078,7.29758153652647,12.6397819936404,3
"man","C4",20.9194444444444,233.999680668525,4.32902450466091,7.49809038928339,3
"man","C5",20.9194444444444,207.956965509645,2.57664740853069,4.46288422476584,3
"man","C6",20.9194444444444,219.781905981486,24.5095902647852,42.4518556113034,3
"man","Cellulose",20.9194444444444,324.00463745667,32.0229216856986,55.4653273664293,3
"man","Ethanol",20.9194444444444,636.691241376526,12.1371534172458,21.0221663779279,3
"man","HS1",20.9194444444444,274.090407477114,20.1157564921322,34.8415122770564,3
"man","HS2",20.9194444444444,240.943783384563,13.8080086880443,23.9161725990453,3
"man","RS",20.9194444444444,233.415275307184,5.62874141250916,9.74926610913288,3
"vol","A",20.9194444444444,280.248287444764,3.42805853358376,5.93757155148712,3
"vol","C3",20.9194444444444,240.785267228136,7.4528756142139,12.9087592263096,3
"vol","C4",20.9194444444444,272.522729115697,6.28219226490845,10.8810761857376,3
"vol","C5",20.9194444444444,236.013158404398,3.77318301340092,6.53534468546624,3
"vol","C6",20.9194444444444,251.138980319011,27.4453411345183,47.5367252760458,3
"vol","Cellulose",20.9194444444444,355.981923334366,34.2705863358506,59.358396738869,3
"vol","Ethanol",20.9194444444444,708.22036121536,11.9181234880321,20.6427954121516,3
"vol","HS1",20.9194444444444,320.471903831104,15.8138404961676,27.3903752021525,3
"vol","HS2",20.9194444444444,281.184199782339,16.2102893420316,28.0770447457909,3
"vol","RS",20.9194444444444,261.6223442737,6.56978327785593,11.3791984319629,3
"grav","A",20.9194444444444,273.925800768885,2.69791581103955,4.67292725926389,3
"grav","C3",20.9194444444444,285.305842340734,2.63584984934692,4.56542586019163,3
"grav","C4",20.9194444444444,278.106766838549,3.58654380005993,6.21207608527495,3
"grav","C5",20.9194444444444,275.832830619386,3.25487782238086,5.63761376079279,3
"grav","C6",20.9194444444444,270.930316725807,2.62911740677892,4.55376492760482,3
"grav","Cellulose",20.9194444444444,371.893628166832,7.87968776157646,13.6480195508291,3
"grav","Ethanol",20.9194444444444,740.267337967801,12.3889859294184,21.4583530840087,3
"grav","HS1",20.9194444444444,347.428360411028,4.04391231717352,7.00426159469813,3
"grav","HS2",20.9194444444444,326.589019579183,2.76757995559675,4.79358909710279,3
"grav","RS",20.9194444444444,265.736512170888,2.86563635530604,4.96342776340655,3
"gdt","A",20.9194444444444,281.851282732869,6.22248821026461,10.7776657296766,3
"gdt","C3",20.9194444444444,178.130791180393,13.1317087182583,22.7447866902186,3
"gdt","C4",20.9194444444444,260.069942689277,17.5214099417275,30.3479722393145,3
"gdt","C5",20.9194444444444,180.295236083836,8.68660310730764,15.0456379270425,3
"gdt","C6",20.9194444444444,219.318652225649,62.1827826116694,107.703738839422,3
"gdt","Cellulose",20.9194444444444,325.2249540972,91.152170324124,157.880190221555,3
"gdt","Ethanol",20.9194444444444,619.704199867742,30.730261756646,53.2263746924017,3
"gdt","HS1",20.9194444444444,279.813459483675,35.2871739904192,61.1191782069291,3
"gdt","HS2",20.9194444444444,218.552954670497,38.3137678655909,66.3613925726032,3
"gdt","RS",20.9194444444444,251.374553555048,16.2464595085823,28.139693311975,3
"gdv","A",20.9194444444444,275.905920331638,12.5141307375099,21.6751102499265,3
"gdv","C3",20.9194444444444,273.370377668342,10.6405215594626,18.4299239600213,3
"gdv","C4",20.9194444444444,287.676408095416,10.7558603610824,18.6296966245108,3
"gdv","C5",20.9194444444444,271.904255208488,4.30598365945363,7.45818247473506,3
"gdv","C6",20.9194444444444,275.106646992016,8.914142624942,15.4397479323149,3
"gdv","Cellulose",20.9194444444444,398.597915489338,22.444351282355,38.8747567639625,3
"gdv","Ethanol",20.9194444444444,645.066558452717,28.7608673936881,49.8152835956188,3
"gdv","HS1",20.9194444444444,349.171611395548,6.16665173347871,10.6809541149678,3
"gdv","HS2",20.9194444444444,314.557266727866,17.1915956735137,29.7767171697069,3
"gdv","RS",20.9194444444444,275.439561372042,5.0789073552182,8.79692558617319,3
