"method","time.d","id","descrip","descrip2","descrip1","tare","m.inoc","m.sub","m.water","m.tot1","m.tot2","m.tot","m.tot.sd","vol.hs","conc.sub.vs","m.sub.vs","conc.inoc.vs","m.inoc.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"man",20.9194444444444,"A1","A","After preheater","Preheated sludge",248.44,101.36,35.5,NA,385.27,385.27,385.27,0,190.544,93.7644,3.3286362,32.4977,3.293966872,245.274581248713,0.576864332017578,0.0322676887613118,3,9.68846109481913,262.840624871414,17.566043622701,0.0668315395738183,0.982580473302118,0
"man",20.9194444444444,"A2","A","After preheater","Preheated sludge",257.13,100.34,33.69,NA,391.09,391.09,391.09,0,193.374,93.7644,3.158922636,32.4977,3.260819218,241.731556062987,0.576864332017578,0.0322676887613118,3,9.68846109481913,260.055071306759,18.3235152437724,0.0704601342773206,1.0249506757183,0
"man",20.9194444444444,"A3","A","After preheater","Preheated sludge",254.13,103.49,33.6,NA,391.14,391.14,391.14,0,190.314,93.7644,3.15048384,32.4977,3.363186973,249.253128709471,0.576864332017578,0.0322676887613118,3,9.68846109481913,268.20250053691,18.9493718274394,0.0706532257883687,1.05995881251946,0
"man",20.9194444444444,"C3-1","C3","Conf. 3","Sludge C3",256.51,101.69,44.15,NA,402.31,402.32,402.315,0.00707106781185904,181.564,75.6107,3.338212405,32.4977,3.304691113,201.437850114351,0.576864332017578,0.0322676887613118,3,9.68846109481913,219.01052878363,17.5726786692794,0.0802366843588612,0.982951613631007,0
"man",20.9194444444444,"C3-2","C3","Conf. 3","Sludge C3",257.49,102.82,43.84,NA,404.12,404.11,404.115,0.00707106781185904,180.744,75.6107,3.314773088,32.4977,3.341413514,225.805655349236,0.576864332017578,0.0322676887613118,3,9.68846109481913,243.699245360802,17.8935900115668,0.073424888883324,1.00090222478543,0
"man",20.9194444444444,"C3-3","C3","Conf. 3","Sludge C3",257.8,101.3,42.81,NA,401.85,401.86,401.855,0.00707106781185904,183.294,75.6107,3.236894067,32.4977,3.29201701,208.623098660648,0.576864332017578,0.0322676887613118,3,9.68846109481913,226.676317463555,18.0532188029064,0.0796431625717099,1.00983127771938,0
"man",20.9194444444444,"C4-1","C4","Conf. 4","Sludge C4",248.33,99.89,43.48,NA,391.69,391.69,391.69,0,184.034,77.3047,3.361208356,32.4977,3.246195253,242.260360653869,0.576864332017578,0.0322676887613118,3,9.68846109481913,259.403891200666,17.1435305467972,0.0660881780433106,0.958946631384441,0
"man",20.9194444444444,"C4-2","C4","Conf. 4","Sludge C4",234.42,100.53,42.62,NA,377.52,377.52,377.52,0,184.254,77.3047,3.294726314,32.4977,3.266993781,228.385432604629,0.576864332017578,0.0322676887613118,3,9.68846109481913,245.98694659118,17.6015139865505,0.071554666743368,0.984564556209349,0
"man",20.9194444444444,"C4-3","C4","Conf. 4","Sludge C4",257.01,100.29,42.92,NA,400.18,400.19,400.185,0.00707106781185904,184.194,77.3047,3.317917724,32.4977,3.259194333,231.353248747077,0.576864332017578,0.0322676887613118,3,9.68846109481913,248.790005372945,17.4367566258683,0.0700862424104618,0.975348629793799,0
"man",20.9194444444444,"C5-1","C5","Conf. 5","Sludge C5",257.51,101.72,39.79,NA,398.95,398.94,398.945,0.00707106781185904,185.894,81.5342,3.244245818,32.4977,3.305666044,203.607652456168,0.576864332017578,0.0322676887613118,3,9.68846109481913,221.694641896753,18.086989440585,0.0815851447100306,1.01172028413805,0
