"id","date","xCH4","time.orig","time","date.time","start.time","elapsed.time"
"A1","07032017",0.677,1104,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"A1","15022017",0.4615,1016,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"A1","16022017",0.5443,1325,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"A1","17022017",0.5829,932,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"A1","18022017",0.6854,1644,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"A1","19022017",0.727,1634,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"A1","20022017",0.7242,1121,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"A2","07032017",0.6772,1104,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"A2","15022017",0.4637,1016,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"A2","16022017",0.5483,1325,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"A2","17022017",0.5829,932,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"A2","18022017",0.6897,1644,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"A2","19022017",0.7333,1634,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"A2","20022017",0.723,1121,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"A3","07032017",0.6737,1104,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"A3","15022017",0.4597,1016,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"A3","16022017",0.5577,1325,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"A3","17022017",0.6059,932,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"A3","18022017",0.699,1644,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"A3","19022017",0.7355,1634,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"A3","20022017",0.732,1121,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"B1","07032017",0.677,1108,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"B1","15022017",0.4095,1023,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"B1","16022017",0.5184,1331,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"B1","17022017",0.5786,937,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"B1","18022017",0.6838,1650,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"B1","19022017",0.7247,1638,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"B1","20022017",0.715,1126,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"B2","15022017",0.4103,1023,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"B2","16022017",0.5186,1331,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"B2","17022017",0.5792,937,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"B2","18022017",0.6829,1650,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"B2","19022017",0.7247,1638,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"B2","20022017",0.7133,1126,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"B2","07032017",0.677,1108,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"B3","07032017",0.6798,1108,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"B3","15022017",0.414,1023,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"B3","16022017",0.5173,1331,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"B3","17022017",0.5775,937,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"B3","18022017",0.6829,1650,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"B3","19022017",0.7217,1638,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"B3","20022017",0.7116,1126,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C1","07032017",0.5982,1112,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C1","15022017",0.2623,1029,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C1","16022017",0.4573,1336,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C1","17022017",0.438,943,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C1","18022017",0.4894,1656,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
