"descrip","elapsed.time","leak.l","n","mean.vol","sd.vol","rsd.vol","mean.man","sd.man","rsd.man","mean.grav","sd.grav","rsd.grav","mean.gd03","sd.gd03","rsd.gd03","mean.gd06","sd.gd06","rsd.gd06"
"A",30,TRUE,3,295.13447746363,10.1687928579455,3.44547778535926,255.684591727894,7.66569974760688,2.99810782331573,291.367524241606,2.68985575319166,0.923183103605326,279.905726507274,36.9754915575405,13.2099803812265,308.006354477802,17.3895520513526,5.64584197648618
"B",30,TRUE,3,273.728186324882,16.5975887037791,6.06352927209323,241.337246423756,14.2213503625907,5.89272918844026,284.573760522309,1.25375965564457,0.440574581909241,221.669937806986,57.6977699255785,26.0286850334291,301.77340008997,8.21360148286104,2.72177782415953
"C1",30,TRUE,3,327.276567454529,25.6054519795573,7.82379630130863,278.675696378669,33.5289742972489,12.0315387143374,366.862056110076,8.11833338613324,2.21291170643642,243.886910878831,56.8938539491703,23.3279653033272,363.479312953378,23.1690376660865,6.37423832400013
"C2",30,TRUE,3,285.293844258779,29.0472169935275,10.1815084966151,243.176777420084,25.0299467846994,10.2929017524813,337.217732633786,2.53218194005791,0.75090414738297,151.877822077974,71.197649262086,46.8782395533254,336.263248495601,29.6784459437681,8.8259558772913
"C3",30,TRUE,3,247.698913603895,11.3655528196903,4.58845485203275,216.783706521326,11.682209924026,5.38887821021583,297.608765210738,2.31626227541376,0.778291013631137,148.811631763495,8.09207129979154,5.43779488464464,300.378224777502,9.22068436097143,3.06969134257366
"C4",30,TRUE,3,281.988253786133,16.6060831990551,5.8889272783857,240.576265350747,11.85916227957,4.92948141092806,291.477436742865,3.6414873481565,1.24932049247055,246.44980040548,52.8403310111206,21.4406061291927,318.553640581741,33.2555242179525,10.4395367000739
"C5",30,TRUE,3,244.127162742644,13.2209974421014,5.41561917714122,213.067691214633,10.0057557887599,4.69604552981269,288.197492285039,7.46893006630212,2.59160133805573,147.258667885358,32.0202510624751,21.744221594754,286.777486508739,6.82884245053933,2.3812338038367
"C6",30,TRUE,3,261.457252787079,52.9336120996155,20.2456086168406,226.572947140774,47.0237208097212,20.7543404467015,286.4129554174,3.0017499613029,1.0480496445869,206.78269317204,145.858318111681,70.53700475326,289.237500310191,30.4783213514636,10.5374722568053
"E",30,TRUE,3,704.197735032532,27.9576004516452,3.97013495795376,627.579430216349,28.4164752352959,4.52794879295195,746.522867700275,8.76695406991477,1.17437180416483,617.306174296319,141.791167857454,22.9693422423783,728.420212843121,70.8557573725564,9.72731894629845
"L",30,TRUE,3,354.0488071646,65.9679788929204,18.6324533674397,318.704478798759,62.176060008234,19.5090010164225,381.623465946154,8.54322408925499,2.23865271703717,264.137407176269,185.981124471868,70.4107481254088,393.611246754021,45.3138474404201,11.5123355376931
