"id","cvCH4.vol","cvCH4.grav","cvCH4.man","cvCH4.gd03","cvCH4.gd06"
"L1",396.101121698926,377.184072906126,361.601337340813,370.470621496943,349.655385851282
"L2",385.419496329722,372.19085862509,351.303816456354,344.884693409708,427.980465623029
"L3",288.69411832776,366.30595254657,261.178886658087,53.9662196270897,389.514919111402
"E1",719.082948096859,730.309332276718,658.580553020704,644.817295320266,676.917955434231
"E2",720.219997607985,748.177976330553,631.251701732464,715.724776884632,710.790560844357
"E3",687.632426279831,742.31470474012,622.293700071863,455.051596209349,789.008284032759
"A1",281.8617597387,274.274051481891,245.625786345907,285.629470735802,307.13398756903
"A2",274.463401787838,270.930576215237,242.078266593005,223.637057895031,275.744924513228
"A3",285.611150482244,276.572774247592,249.601862258762,279.342340718164,289.667184767951
"B1",253.275228009391,269.295388811662,227.764265241209,180.935558153581,288.288759562392
"B2",274.713789831308,265.072391178519,244.83512287718,267.712559695536,287.33292196179
"B3",258.048289549718,262.841756082733,228.695062749868,174.205209144277,277.072995313888
"C1-1",348.195206489995,352.313582292549,309.085272649728,287.996525734081,329.186668161554
"C1-2",321.07601049,340.693567652823,274.90347223159,218.313153780074,336.618436917116
"C1-3",293.459768002226,349.277930808083,239.405558491994,187.649027814294,374.284476813605
"C2-1",298.015002981554,324.424218419409,254.754990003807,169.156071541213,359.248150679165
"C2-2",249.204420240889,330.259626081333,213.726116478758,71.2651068694478,315.391770704264
"C2-3",297.599489821276,325.083213681565,255.432827017393,202.615799925887,309.93019743781
"C3-1",229.345679500378,284.647752625191,201.731855863109,146.295188635227,283.524293620929
"C3-2",254.756555591323,288.354807651097,226.12303605948,142.003971868139,293.053918361565
"C3-3",239.289503596676,282.914966381925,208.923373173323,139.890719422608,290.870266027865
"C4-1",280.204678707699,272.399252121957,242.612531436209,265.528159519797,289.878709793948
"C4-2",277.998593922576,282.258800559846,228.716327830581,262.103074080036,343.912738074862
"C4-3",260.549304142814,279.662247501842,231.687326652481,176.55433838221,281.339313172824
"C5-1",230.169825816369,276.117125657981,203.908434557165,113.249237122713,274.158022519252
"C5-2",242.769668183514,279.945089780025,212.062380830998,170.83406466691,276.832987941807
"C5-3",236.144233904597,271.436275994477,208.820455500189,139.541422713994,278.008544265307
"C6-1",196.694885441092,268.972532351361,171.2176224241,38.4047238769845,244.50517919296
"C6-2",282.089271744056,269.782788911914,248.019427378908,291.88362854777,300.170272923748
"C6-3",275.737724041374,274.035628560359,241.074423855776,258.311105305429,282.928875050069
