"method","id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"vol","A1",0,0,0,0,0,0
"vol","A1",0.874305555555556,0.4615,170.208159830077,78.7360917380011,170.208159830077,78.7360917380011
"vol","A1",2.01388888888889,0.5443,182.951016715751,99.7786604066765,353.159176545828,178.514752144678
"vol","A1",2.85,0.5829,150.183670438303,87.7016939985363,503.342846984132,266.216446143214
"vol","A1",4.15138888888889,0.6854,233.922444258448,160.550859995716,737.26529124258,426.767306138929
"vol","A1",5.14513888888889,0.727,209.346934550362,152.376753968071,946.612225792942,579.144060107001
"vol","A1",5.93194444444444,0.7242,155.644894817878,112.853859111322,1102.25712061082,691.997919218322
"vol","A1",7.13194444444444,0.720420850708924,112.865303844543,81.4098423564344,1215.12242445536,773.407761574756
"vol","A1",9.11111111111111,0.714187878787879,92.8408144527694,66.3885875570258,1307.96323890813,839.796349131782
"vol","A1",15.2194444444444,0.694950959132611,143.812241995466,100.07567609588,1451.7754809036,939.872025227662
"vol","A1",20.9194444444444,0.677,93.7510185160318,63.5590281691739,1545.52649941963,1003.43105339684
"vol","A1",30.96875,0.677,108.314283528231,73.4322752634145,1653.84078294786,1076.86332866025
"vol","A1",50.8645833333333,0.677,122.87754854043,83.3055223576551,1776.71833148829,1160.16885101791
"vol","A1",60.9166666666667,0.677,58.2530600487965,39.4929883769624,1834.97139153709,1199.66183939487
"gd","A1",2.01388888888889,0.542796886684858,182.951016715751,99.3052422891393,353.159176545828,194.311832275464
"gd","A1",2.85,0.633130792112535,150.183670438303,95.0859062269709,503.342846984132,289.397738502435
"gd","A1",4.15138888888889,0.770712863516513,233.922444258448,180.287036855211,737.26529124258,469.684775357646
"gd","A1",5.14513888888889,0.674680254334417,209.346934550362,141.242243046569,946.612225792942,610.927018404215
"gd","A1",5.93194444444444,0.769118213302868,155.644894817878,119.709323412039,1102.25712061082,730.636341816254
"gd","A1",7.13194444444444,0.741025363366134,112.865303844543,83.6360527928317,1215.12242445536,814.272394609086
"gd","A1",9.11111111111111,0.729943754740485,92.8408144527694,67.7685726948191,1307.96323890813,882.040967303905
"grav","A1",0,NA,0,0,0,0
"grav","A1",0.874305555555556,0.4615,170.112941451711,78.6920449485774,170.112941451711,78.6920449485774
"grav","A1",2.01388888888889,0.5443,182.727703009745,99.6568685585863,352.840644461455,178.348913507164
"grav","A1",2.85,0.5829,142.310461062761,83.1040316999317,495.151105524216,261.452945207095
"grav","A1",4.15138888888889,0.6854,228.894733580609,157.100129666287,724.045839104825,418.553074873382
"grav","A1",5.14513888888889,0.727,221.485436610068,161.211970714213,945.531275714893,579.765045587595
"grav","A1",5.93194444444444,0.7242,137.980221663495,100.045687421881,1083.51149737839,679.810733009476
"grav","A1",7.13194444444444,0.720420850708924,100.745248599245,72.6676359098009,1184.25674597763,752.478368919277
"grav","A1",9.11111111111111,0.714187878787879,100.027425162002,71.5275874367703,1284.28417113964,824.005956356047
"grav","A1",15.2194444444444,0.694950959132611,142.363456704215,99.0674992847266,1426.64762784385,923.073455640774
"grav","A1",20.9194444444444,0.677,95.9478319242709,65.0483701252062,1522.59545976812,988.12182576598
"grav","A1",30.96875,0.677,113.392892274179,76.8753465116348,1635.9883520423,1064.99717227761
"grav","A1",50.8645833333333,0.677,130.837952624087,88.7023228980635,1766.82630466639,1153.69949517568
"grav","A1",60.9166666666667,0.677,95.9478319243205,65.0483701252398,1862.77413659071,1218.74786530092
"man","A1",4.15138888888889,0.6854,208.815732023347,143.319062278362,647.564540325799,379.482782626177
"man","A1",5.14513888888889,0.727,179.490724000938,130.645399462787,827.055264326737,510.128182088964
"man","A1",5.93194444444444,0.7242,135.191400905588,98.0235897149965,962.246665232325,608.151771803961
"man","A1",7.13194444444444,0.720420850708924,95.712707156629,69.037659366612,1057.95937238895,677.189431170573
"man","A1",9.11111111111111,0.714187878787879,79.0219175396111,56.5069740331867,1136.98128992857,733.696405203759
"man","A1",15.2194444444444,0.694950959132611,126.928500334117,88.3266633669009,1263.90979026268,822.02306857066
"man","A1",20.9194444444444,0.677,79.9167177491872,54.1799864685193,1343.82650801187,876.203055039179
"man","A1",30.96875,0.677,84.2240512654434,57.1001673543082,1428.05055927731,933.303222393488
"man","A1",50.8645833333333,0.677,110.572384995627,74.9631678024703,1538.62294427294,1008.26639019596
"man","A1",60.9166666666667,0.677,50.5053741589212,34.2404013276144,1589.12831843186,1042.50679152357
"man","A1",0,0,-8.96294298839175,0,-8.96294298839175,0
"man","A1",0.874305555555556,0.4615,156.195962108907,72.2542304316662,147.233019120516,72.2542304316662
"man","A1",2.01388888888889,0.5443,163.949984626207,89.4157908130919,311.183003746722,161.670021244758
"gd","A1",15.2194444444444,0.757121750578313,143.812241995466,108.883376414199,1451.7754809036,990.924343718104
"gd","A1",20.9194444444444,0.823330514808095,93.7510185160318,77.1880743385877,1545.52649941963,1068.11241805669
"gd","A1",30.96875,0.705405907069928,108.314283528231,76.4055354208611,1653.84078294786,1144.51795347755
"gd","A1",50.8645833333333,0.745211748846935,122.87754854043,91.569792841838,1776.71833148829,1236.08774631939
"gd","A1",0,0,0,0,0,0
"gd","A1",0.874305555555556,0.558178821045786,170.208159830077,95.0065899863251,170.208159830077,95.0065899863251
"man","A1",2.85,0.5829,127.56580455573,74.4936991030574,438.748808302452,236.163720347815
"gd","A1",60.9166666666667,0.630642152447555,58.2530600487965,36.7368351758296,1834.97139153709,1272.82458149522
"vol","A2",0,0,0,0,0,0
"vol","A2",0.874305555555556,0.4637,158.375507007665,73.6109981502456,158.375507007665,73.6109981502456
"vol","A2",2.01388888888889,0.5483,183.861220779014,101.010215270913,342.236727786679,174.621213421159
"grav","A2",20.9194444444444,0.6772,95.9688855553297,65.0818075398441,1436.02064367818,930.255640479877
"grav","A2",30.96875,0.6772,113.417773838099,76.9148634561672,1549.43841751628,1007.17050393604
"grav","A2",50.8645833333333,0.6772,139.591106262253,94.6644473306518,1689.02952377853,1101.8349512667
"man","A2",4.15138888888889,0.6897,209.115772838893,144.422713205608,647.290570682473,382.225114849703
"man","A2",5.14513888888889,0.7333,168.772900686493,123.905375061325,816.063471368966,506.130489911028
"man","A2",5.93194444444444,0.723,119.113608515954,86.2233653918106,935.177079884921,592.353855302838
