"Sub. type","ID","Cum CH4 GD03 [mL]","Cum CH4 GD06 [mL]","Cum CH4 grav. [mL]","Cum CH4 vol. [mL]","Cum CH4 man. [mL]","xCH4 GD03 [mol/mol]","xCH4 GD06 [mol/mol]","xCH4 GC [mol/mol]"
"Preheated sludge","A1",1045,1196,1065,1077,933,0.65,0.7,0.68
"Preheated sludge","A2",786,1036,1007,975,857,0.56,0.66,0.68
"Preheated sludge","A3",974,1084,1024,1038,902,0.64,0.68,0.67
"Raw sludge","B1",641,1080,1003,920,823,0.48,0.67,0.68
"Raw sludge","B2",956,1099,1013,1019,901,0.62,0.67,0.68
"Raw sludge","B3",624,1050,993,919,810,0.47,0.66,0.68
"Sludge C1","C1-1",1032,1249,1323,1226,1087,0.58,0.66,0.72
"Sludge C1","C1-2",823,1327,1332,1206,1036,0.49,0.66,0.7
"Sludge C1","C1-3",660,1362,1266,1046,859,0.44,0.7,0.7
"Sludge C2","C2-1",600,1317,1190,1048,898,0.41,0.68,0.7
"Sludge C2","C2-2",281,1231,1276,954,820,0.21,0.63,0.72
"Sludge C2","C2-3",711,1146,1188,1077,927,0.46,0.63,0.71
"Sludge C3","C3-1",537,1089,1078,875,771,0.41,0.65,0.67
"Sludge C3","C3-2",519,1117,1085,941,836,0.4,0.67,0.67
"Sludge C3","C3-3",509,1104,1064,871,761,0.4,0.67,0.69
"Sludge C4","C4-1",976,1135,1060,1070,928,0.61,0.67,0.67
"Sludge C4","C4-2",931,1285,1057,1029,850,0.6,0.73,0.67
"Sludge C4","C4-3",650,1093,1071,950,844,0.47,0.66,0.66
"Sludge C5","C5-1",413,1036,1029,834,738,0.34,0.64,0.67
"Sludge C5","C5-2",644,1104,1105,964,839,0.46,0.65,0.7
"Sludge C5","C5-3",498,1039,1005,860,758,0.4,0.65,0.68
"Sludge C6","C6-1",160,953,1030,736,639,0.15,0.61,0.69
"Sludge C6","C6-2",1018,1118,1003,1032,903,0.65,0.68,0.68
"Sludge C6","C6-3",917,1075,1032,1006,877,0.6,0.66,0.68
"I","I1",9,83,86,74,69,0.08,0.53,0.61
"I","I2",19,125,89,70,62,0.15,0.66,0.6
"I","I3",57,114,90,82,84,0.38,0.62,0.6
