"Sub. type","ID","Inoc. mass [g]","Sub. mass [g]","Total mass [g]","Sub. VS conc. [g/kg]","Inoc. VS conc. [g/kg]","Initial mass [g]","Final mass [g]","Cum total mass [g]","Cum biogas [mL]","xCH4 [mol/mol]","Cum CH4 [mL]"
"Cellulose","L1",101.53,1,358.26,952,32.5,357.26,357.13,1.13,833,0.51,425
"Cellulose","L2",101.68,0.98,360.2,952,32.5,359.17,359.09,1.11,865,0.57,492
"Cellulose","L3",102.85,1.03,361.51,952,32.5,360.38,360.36,1.15,874,0.54,476
"Ethanol","E1",100.67,0.61,357.05,1000,32.5,356.29,356.24,0.81,723,0.7,505
"Ethanol","E2",100.36,0.61,349.14,1000,32.5,348.35,348.32,0.82,740,0.71,525
"Ethanol","E3",102.54,0.61,359.42,1000,32.5,358.65,358.61,0.81,767,0.75,575
"I","I1",98.96,NA,354.72,NA,32.5,354.57,354.51,0.21,157,0.53,83
"I","I2",100.39,NA,357.83,NA,32.5,357.67,357.66,0.17,146,0.66,97
"I","I3",100.48,NA,357.62,NA,32.5,357.49,357.43,0.19,152,0.62,94
"Raw sludge","B1",101.41,29.82,388.55,107.49,32.5,386.85,386.78,1.77,1525,0.67,1016
"Raw sludge","B2",102.59,29.76,387.4,107.49,32.5,385.75,385.65,1.75,1512,0.67,1013
"Raw sludge","B3",100.25,29.36,385.45,107.49,32.5,383.83,383.74,1.71,1463,0.66,966
"Sludge C1","C1-1",101.39,50.86,409.53,64.08,32.5,407.59,407.45,2.08,1773,0.66,1165
"Sludge C1","C1-2",99.93,53.6,410.62,64.08,32.5,408.5,408.43,2.19,1878,0.66,1247
"Sludge C1","C1-3",100.13,50.13,384.73,64.08,32.5,382.74,382.66,2.06,1847,0.7,1294
"Sludge C2","C2-1",101.18,46.78,396.28,69.67,32.5,394.21,394.18,2.11,1848,0.68,1263
"Sludge C2","C2-2",100.61,49.95,407.58,69.67,32.5,405.46,405.32,2.26,1879,0.63,1189
"Sludge C2","C2-3",102.71,46.8,404.94,69.67,32.5,402.92,402.84,2.1,1743,0.63,1104
